,month,cpi
0,2018.7,102.1
1,2018.6,101.85
2,2018.5,101.75
3,2018.4,101.8
4,2018.3,102.06
5,2018.2,102.9
6,2018.1,101.47
7,2017.12,102.0
8,2017.11,101.73
9,2017.10,101.87
10,2017.9,101.6
11,2017.8,101.77
12,2017.7,101.4
13,2017.6,101.5
14,2017.5,101.52
15,2017.4,101.17
16,2017.3,100.92
17,2017.2,100.8
18,2017.1,102.55
19,2016.12,102.08
20,2016.11,102.25
21,2016.10,102.1
22,2016.9,101.9
23,2016.8,101.34
24,2016.7,101.77
25,2016.6,101.88
26,2016.5,102.04
27,2016.4,102.33
28,2016.3,102.3
29,2016.2,102.3
30,2016.1,101.8
31,2015.12,101.64
32,2015.11,101.49
33,2015.10,101.27
34,2015.9,102.2
35,2015.8,102.8
36,2015.7,101.65
37,2015.6,101.39
38,2015.5,101.23
39,2015.4,101.51
40,2015.3,101.38
41,2015.2,101.43
42,2015.1,100.76
43,2014.12,102.62
44,2014.11,101.44
45,2014.10,101.6
46,2014.9,101.63
47,2014.8,101.99
48,2014.7,102.29
49,2014.6,102.34
50,2014.5,102.48
51,2014.4,101.8
52,2014.3,102.38
53,2014.2,101.95
54,2014.1,102.49
55,2013.12,102.65
56,2013.11,103.02
57,2013.10,103.21
58,2013.9,103.05
59,2013.8,102.57
60,2013.7,102.67
61,2013.6,102.67
62,2013.5,102.1
63,2013.4,102.39
64,2013.3,102.07
65,2013.2,103.22
66,2013.1,102.03
67,2012.12,102.52
68,2012.11,102.04
69,2012.10,101.72
70,2012.9,101.91
71,2012.8,102.05
72,2012.7,101.78
73,2012.6,102.15
74,2012.5,103.0
75,2012.4,103.37
76,2012.3,103.59
77,2012.2,103.16
78,2012.1,104.55
79,2011.12,104.1
80,2011.11,104.2
81,2011.10,105.5
82,2011.9,106.1
83,2011.8,106.2
84,2011.7,106.5
85,2011.6,106.4
86,2011.5,105.5
87,2011.4,105.3
88,2011.3,105.4
89,2011.2,104.9
90,2011.1,104.9
91,2010.12,104.6
92,2010.11,105.1
93,2010.10,104.4
94,2010.9,103.6
95,2010.8,103.5
96,2010.7,103.3
97,2010.6,102.9
98,2010.5,103.1
99,2010.4,102.8
100,2010.3,102.4
101,2010.2,102.7
102,2010.1,101.5
103,2009.12,101.9
104,2009.11,100.6
105,2009.10,99.5
106,2009.9,99.2
107,2009.8,98.8
108,2009.7,98.2
109,2009.6,98.3
110,2009.5,98.6
111,2009.4,98.5
112,2009.3,98.8
113,2009.2,98.4
114,2009.1,101.0
115,2008.12,101.2
116,2008.11,102.4
117,2008.10,104.0
118,2008.9,104.6
119,2008.8,104.9
120,2008.7,106.3
121,2008.6,107.1
122,2008.5,107.7
123,2008.4,108.5
124,2008.3,108.3
125,2008.2,108.7
126,2008.1,107.1
127,2007.12,106.5
128,2007.11,106.9
129,2007.10,106.5
130,2007.9,106.2
131,2007.8,106.5
132,2007.7,105.6
133,2007.6,104.4
134,2007.5,103.4
135,2007.4,103.0
136,2007.3,103.3
137,2007.2,102.7
138,2007.1,102.2
139,2006.12,102.8
140,2006.11,101.9
141,2006.10,101.4
142,2006.9,101.5
143,2006.8,101.3
144,2006.7,101.0
145,2006.6,101.5
146,2006.5,101.4
147,2006.4,101.2
148,2006.3,100.8
149,2006.2,100.9
150,2006.1,101.9
151,2005.12,101.6
152,2005.11,101.3
153,2005.10,101.2
154,2005.9,100.9
155,2005.8,101.3
156,2005.7,101.8
157,2005.6,101.6
158,2005.5,101.8
159,2005.4,101.8
160,2005.3,102.7
161,2005.2,103.9
162,2005.1,101.9
163,2004.12,102.4
164,2004.11,102.8
165,2004.10,104.3
166,2004.9,105.2
167,2004.8,105.3
168,2004.7,105.3
169,2004.6,105.0
170,2004.5,104.4
171,2004.4,103.8
