,,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto
,,2018/6/29,2018/5/31,2018/4/27,2018/3/30,2018/2/28,2018/1/31,2017/12/29,2017/11/30,2017/10/31,2017/9/29,2017/8/31,2017/7/31,2017/6/30,2017/5/31,2017/4/28,2017/3/31,2017/2/28,2017/1/26,2016/12/30,2016/11/30,2016/10/31,2016/9/30,2016/8/31,2016/7/29,2018/6/29,2018/5/31,2018/4/27,2018/3/30,2018/2/28,2018/1/31,2017/12/29,2017/11/30,2017/10/31,2017/9/29,2017/8/31,2017/7/31,2017/6/30,2017/5/31,2017/4/28,2017/3/31,2017/2/28,2017/1/26,2016/12/30,2016/11/30,2016/10/31,2016/9/30,2016/8/31,2016/7/29
801010.INDX,000048.XSHE,-0.570803129,-0.57018353,-0.526738153,-0.515271391,-0.487338564,-0.422320836,-0.423360758,-0.412869399,-0.560765875,-0.569865503,-0.611119913,-0.742164173,-0.448221904,-0.508373862,-0.527391873,-0.497485868,-0.703063113,-0.744365669,-0.899512404,-0.605990667,-0.590382766,-0.584167449,-0.569377637,-0.73367602,-0.537084558,-0.540072096,-0.482738129,-0.50071615,-0.517631912,-0.539996372,-0.519979206,-0.55036772,-0.633520527,-0.63815726,-0.617529053,-0.634870272,-0.531326499,-0.620253811,-0.530304574,-0.574595622,-0.732379846,-0.749259922,-0.815569979,-0.48717572,-0.500735598,-0.523451933,-0.481897542,-0.450253467
801010.INDX,000505.XSHE,-0.197048315,0.074102717,0.841732689,0.195842821,0.767266463,0.066757955,-0.201883005,-0.08862616,0.109996729,-0.140268483,-0.289470382,-0.425240247,-0.059914221,-0.124842955,-0.110957991,-0.28161141,-0.428030891,-0.335370791,-0.255767172,0.395707183,-0.051910437,-0.663879942,-0.716922657,-0.896741832,0.018854283,0.015704431,0.002426463,-0.104386463,-0.171226171,-0.235449333,-0.227951656,-0.24596768,-0.260549952,-0.275992005,-0.257945902,-0.260516755,-0.154629015,-0.259654367,-0.179382293,-0.153341503,0.01150934,0.271771852,0.290672993,0.338562705,0.349816868,-0.893589958,-0.885471165,-0.975264322
801010.INDX,000576.XSHE,-0.185200091,-0.454302273,-0.368171755,-0.346649325,-0.13564195,-0.363199237,-0.34954781,-0.325692119,-0.463587813,-0.478663583,-0.444886881,-0.618272002,-0.173170628,-0.316733807,-0.062255561,-0.061055594,0.061914411,0.432747337,1.653173591,-0.743424432,-0.658681168,-0.663879942,-0.716922657,-0.593111623,-0.359703516,-0.374197841,-0.353377672,-0.35540557,-0.350314309,-0.353861871,-0.275956925,-0.233247984,-0.292044522,-0.267112151,-0.205602946,-0.193906933,-0.098041382,-0.193731301,-0.105000816,-0.137693339,-0.078345008,0.139828133,0.287286166,-0.813410929,-0.847771971,-0.893589958,-0.885471165,0.397509463
801010.INDX,000592.XSHE,-0.327286927,-0.337715799,-0.192239307,-0.245065828,-0.037607771,0.412539776,-0.463204964,-0.44502188,-0.605065345,-0.611954303,-0.642732318,-0.394304476,-0.128668488,-0.241714234,-0.025158394,-0.294751132,-0.247320206,-0.337034499,-0.416776819,-0.283351089,0.061945006,0.281125101,1.76006978,-0.896741832,-0.213439948,-0.205829663,-0.185508096,-0.190898255,-0.226503683,-0.244166821,-0.55775163,-0.588897028,-0.684221087,-0.690855459,-0.672604661,-0.191810117,-0.081973983,-0.181539489,-0.103774594,-0.152566019,-0.085616968,-0.042610635,-0.049259232,-0.032217898,0.045703071,0.107197145,0.190352667,-0.975264322
801010.INDX,000639.XSHE,-0.042194789,0.080675339,-0.374648116,-0.381164526,-0.31712141,-0.230705877,-0.275773773,-0.221641816,-0.382413715,-0.438744897,-0.446896144,-0.458039618,-0.100174804,-0.304444767,0.080313943,-0.222003887,-0.553632365,-0.394036303,-0.213524142,0.121404123,1.115256485,-0.663879942,-0.716922657,-0.896741832,-0.279249974,-0.293910507,-0.317886684,-0.308889321,-0.324683144,-0.352731827,-0.330550093,-0.338998637,-0.373697109,-0.307085325,-0.262002622,-0.25270396,-0.146581246,-0.244080486,-0.096584477,-0.170069806,-0.125097532,-0.053835231,-0.048174132,-0.011496855,-0.039685111,-0.893589958,-0.885471165,-0.975264322
801010.INDX,000702.XSHE,-0.00242517,-0.031933711,-0.158577896,0.178124424,0.719652152,0.243758214,-0.068537211,-0.018603118,-0.159762084,1.317820066,1.204081838,1.491361202,1.215289306,0.471081437,-0.118198882,-0.015758132,-0.311967551,0.052669289,-0.352741749,-0.077646077,-0.084833388,0.252659501,-0.056059012,-0.053945768,0.280063741,0.345894239,0.379748755,0.364401768,0.316013468,0.253940728,0.277615639,0.236825434,0.184470215,0.196106395,0.145697735,0.03412902,0.017975928,-0.164765519,-0.110713893,-0.143564863,-0.115293634,-0.068030124,-0.080792895,0.012586105,0.085002525,0.152341506,0.214873596,0.225847786
801010.INDX,000713.XSHE,0.433601702,-0.57018353,-0.565517978,0.181662157,0.236615389,-0.225204652,-0.183128213,-0.237764926,-0.294781876,-0.223389581,-0.305812388,-0.431129225,-0.219348867,-0.321781091,-0.232300773,-0.245596869,-0.177213324,-0.091716797,-0.09769107,-0.170961999,-0.052467823,-0.043541371,0.577792347,-0.165654183,-0.091343904,-0.540072096,-0.523035769,-0.218302088,-0.277353494,-0.311888784,-0.270152013,-0.279737018,-0.335664907,-0.323627856,-0.299104707,-0.264882728,-0.152434169,-0.24203488,-0.141536641,-0.154477034,-0.097393423,-0.069687237,-0.097332449,-0.080804058,-0.031949255,-0.021670078,0.015992259,-0.020854742
801010.INDX,000735.XSHE,4.154562882,4.034429897,2.046335918,1.141844718,1.624925248,1.041203868,0.262979033,0.536581799,1.255949137,-0.109744108,0.078459175,-0.269182329,-0.101816697,-0.280274232,-0.152816291,-0.012885481,-0.20033607,-0.041765945,0.268876181,-0.188638845,-0.064656004,-0.255887697,-0.337429879,-0.357784322,1.228889293,0.85493804,0.454140101,0.253830816,0.12633735,0.04071206,-0.004935055,-0.022169787,-0.131831836,-0.213916017,-0.208786344,-0.262240165,-0.173791709,-0.285183531,-0.210483728,-0.25479146,-0.187188888,-0.107894636,-0.10098233,0.004892488,0.162785414,0.200948459,0.263149175,0.319228559
801010.INDX,000798.XSHE,-0.455688605,-0.475571618,-0.434920061,-0.36600281,-0.469022284,-0.223647076,-0.321298891,-0.255700324,-0.396701854,-0.321587265,-0.304506367,-0.373581237,-0.254204887,-0.304037222,-0.030481606,0.205515847,0.293784173,1.096249924,-0.064961102,0.237209747,-0.014305441,0.039916595,0.120926841,0.057623749,-0.349149888,-0.346991403,-0.321491674,-0.31611269,-0.284778831,-0.257592828,-0.143604942,-0.147356981,-0.164275854,-0.140802454,-0.098916845,-0.090157612,0.03038525,0.0442136,0.262113162,0.262345746,0.295969596,0.339932352,0.287286166,0.279761492,0.234856173,0.218098089,0.240575872,0.155330783
