,month,m1,m2
0,2018.6,543944.71,1770178.37
1,2018.5,526276.72,1743063.79
2,2018.4,525447.77,1737683.73
3,2018.3,523540.07,1739859.48
4,2018.2,517035.99,1729070.12
5,2018.1,543247.13,1720814.46
6,2017.12,543790.15,1676768.54
7,2017.11,535565.05,1670013.40
8,2017.10,525977.19,1653434.16
9,2017.9,517863.04,1655662.07
10,2017.8,518113.93,1645156.60
11,2017.7,510484.58,1628996.63
12,2017.6,510228.17,1631282.53
13,2017.5,496389.78,1601360.42
14,2017.4,490180.42,1596331.87
15,2017.3,488770.09,1599609.57
16,2017.2,476527.60,1582913.07
17,2017.1,472526.45,1575945.59
18,2016.12,486557.24,1550066.67
19,2016.11,475405.54,1530432.06
20,2016.10,465446.65,1519485.40
21,2016.9,454340.25,1516360.50
22,2016.8,454543.60,1510982.91
23,2016.7,442934.43,1491558.72
24,2016.6,443643.70,1490491.83
25,2016.5,424250.70,1461695.11
26,2016.4,413504.84,1445209.59
27,2016.3,411581.31,1446198.03
28,2016.2,392504.70,1424618.68
29,2016.1,412685.64,1416319.55
30,2015.12,400953.44,1392278.11
31,2015.11,387618.32,1373956.01
32,2015.10,375806.45,1361020.70
33,2015.9,364416.90,1359824.06
34,2015.8,362793.73,1356907.98
35,2015.7,353122.19,1353210.92
36,2015.6,356082.86,1333375.36
37,2015.5,343085.86,1307357.63
38,2015.4,336388.24,1280779.14
39,2015.3,337210.52,1275332.78
40,2015.2,334439.22,1257380.48
41,2015.1,348109.50,1242710.22
42,2014.12,348056.41,1228374.81
43,2014.11,335114.13,1208605.95
44,2014.10,329617.73,1199236.31
45,2014.9,327220.21,1202051.41
46,2014.8,332023.23,1197499.08
47,2014.7,331347.32,1194249.24
48,2014.6,341487.45,1209587.20
49,2014.5,327839.56,1182293.96
50,2014.4,324482.52,1168812.67
51,2014.3,327683.74,1160687.38
52,2014.2,316625.11,1131760.83
53,2014.1,314900.55,1123521.21
54,2013.12,337291.05,1106524.98
55,2013.11,324821.92,1079257.06
56,2013.10,319509.38,1070242.17
57,2013.9,312330.34,1077379.16
58,2013.8,314085.91,1061256.43
59,2013.7,310596.46,1052212.34
60,2013.6,313499.82,1054403.69
61,2013.5,310204.48,1042169.16
62,2013.4,307648.42,1032551.90
63,2013.3,310898.29,1035858.37
64,2013.2,296103.24,998600.83
65,2013.1,311228.55,992129.25
66,2012.12,308664.23,974148.80
67,2012.11,296883.00,944832.40
68,2012.10,293309.78,936404.28
69,2012.9,286788.21,943688.75
70,2012.8,285739.27,924894.59
71,2012.7,283090.68,919072.40
72,2012.6,287526.17,924991.20
73,2012.5,278656.31,900048.77
74,2012.4,274983.82,889604.04
75,2012.3,277998.11,895565.50
76,2012.2,270312.11,867171.42
77,2012.1,270010.40,855898.89
78,2011.12,289847.73,851590.94
79,2011.11,281416.41,825493.98
80,2011.10,276552.71,816829.29
81,2011.9,267193.20,787406.24
82,2011.8,273393.81,780852.34
83,2011.7,270545.70,772923.69
84,2011.6,274662.68,780820.97
85,2011.5,269289.72,763409.31
86,2011.4,266766.99,757384.64
87,2011.3,266255.58,758130.98
88,2011.2,259200.59,736130.96
89,2011.1,261765.11,733884.93
90,2010.12,266621.54,725851.79
91,2010.11,259420.32,710339.02
92,2010.10,253313.17,699776.74
93,2010.9,243821.90,696471.50
94,2010.8,244340.64,687506.92
95,2010.7,240664.07,674051.48
96,2010.6,240580.00,673921.72
97,2010.5,236497.88,663351.37
98,2010.4,233909.76,656561.22
99,2010.3,229397.93,649947.46
100,2010.2,224286.95,636072.26
101,2010.1,229588.98,625609.29
102,2009.12,221445.81,610224.52
103,2009.11,212493.20,594604.72
104,2009.10,207545.74,586643.29
105,2009.9,201708.14,585405.34
106,2009.8,200394.83,576698.95
107,2009.7,195889.26,573102.85
108,2009.6,193138.15,568916.20
109,2009.5,182025.58,548263.51
110,2009.4,178213.57,540481.21
111,2009.3,176541.13,530626.71
112,2009.2,166149.60,506708.08
113,2009.1,165214.97,496136.64
114,2008.12,166217.13,475166.60
115,2008.11,157826.61,458644.65
116,2008.10,157194.36,453133.32
117,2008.9,155748.97,452898.70
118,2008.8,156889.92,448846.68
119,2008.7,154992.44,446362.17
120,2008.6,154820.15,443141.02
121,2008.5,153344.75,436221.60
122,2008.4,151694.91,429313.72
123,2008.3,150867.47,423054.53
124,2008.2,150177.88,421037.84
125,2008.1,154870.16,417818.67
126,2007.12,152560.08,403442.21
127,2007.11,148009.82,399757.91
128,2007.10,144649.33,394204.17
129,2007.9,142591.57,393098.91
130,2007.8,140993.31,387205.15
131,2007.7,136237.43,383884.88
132,2007.6,135847.41,377832.15
133,2007.5,130275.80,369718.15
134,2007.4,127678.34,367326.46
135,2007.3,127881.31,364093.66
136,2007.2,126258.08,358659.25
137,2007.1,128484.06,351498.77
138,2006.12,126035.13,345603.59
139,2006.11,121644.96,337504.16
140,2006.10,118359.97,332747.18
141,2006.9,116814.10,331865.36
142,2006.8,114845.67,327885.67
143,2006.7,112653.04,324010.76
144,2006.6,112342.36,322756.35
145,2006.5,109219.21,316709.80
146,2006.4,106389.11,313702.34
147,2006.3,106737.08,310490.65
148,2006.2,104357.08,304516.27
149,2006.1,107250.68,303571.65
150,2005.12,107278.76,298755.67
151,2005.11,104125.78,292350.39
152,2005.10,101751.98,287591.61
153,2005.9,100964.00,287438.27
154,2005.8,99377.70,281288.22
155,2005.7,97674.10,276966.28
156,2005.6,98601.25,275785.53
157,2005.5,95802.01,269240.49
158,2005.4,94593.72,266992.66
159,2005.3,94743.19,264588.94
160,2005.2,92814.95,259357.29
161,2005.1,97079.03,257708.47
162,2004.12,95970.82,253207.70
163,2004.11,92387.13,247135.58
164,2004.10,90782.48,243740.32
165,2004.9,90439.05,243756.88
166,2004.8,89125.33,239729.19
167,2004.7,87982.23,238126.97
168,2004.6,88627.14,238427.49
169,2004.5,86780.37,234842.40
170,2004.4,85603.64,233627.86
171,2004.3,85815.57,231654.60
172,2004.2,83556.43,227050.72
173,2004.1,83805.90,225101.93
174,2003.12,84118.57,221222.82
175,2003.11,80814.93,216351.73
176,2003.10,80267.10,214469.36
177,2003.9,79163.88,213567.13
178,2003.8,77032.98,210591.90
179,2003.7,76152.77,206193.07
180,2003.6,75923.23,204907.42
181,2003.5,72777.84,199505.19
182,2003.4,71321.24,196130.13
183,2003.3,71438.82,194487.30
184,2003.2,69756.64,190108.41
185,2003.1,72405.66,190545.05
186,2002.12,70881.79,185006.97
187,2002.11,67992.78,179736.26
188,2002.10,67100.25,177294.15
189,2002.9,66799.76,176985.21
190,2002.8,64868.83,173250.92
191,2002.7,63487.78,170851.14
192,2002.6,63144.00,169601.24
193,2002.5,61246.86,166023.00
194,2002.4,60461.31,164570.56
195,2002.3,59474.83,164064.57
196,2002.2,58702.87,160935.59
197,2002.1,60576.06,159639.27
198,2001.12,59871.59,158301.92
199,2001.11,56579.60,154088.30
200,2001.10,56114.90,151497.25
201,2001.9,56824.00,151822.60
202,2001.8,55808.92,149941.76
203,2001.7,53502.80,149228.73
204,2001.6,55187.36,147809.67
205,2001.5,52542.99,139015.84
206,2001.4,53261.32,139949.85
207,2001.3,53033.36,138744.46
208,2001.2,51997.68,136210.17
209,2001.1,54406.23,137543.63
210,2000.12,53147.15,134610.26
211,2000.11,50787.49,130994.07
212,2000.10,49952.84,129522.44
213,2000.9,50616.89,130473.84
214,2000.8,48885.38,127790.30
