,month,ppiip,ppi,qm,rmi,pi,cg,food,clothing,roeu,dcg
0,2018.7,104.6,106.0,113.4,109.0,104.1,100.6,100.7,100.7,101.1,99.8
1,2018.6,104.7,106.1,111.5,108.8,104.6,100.4,100.7,100.3,101.1,99.5
2,2018.5,104.1,105.4,108.1,107.4,104.4,100.3,100.3,100.3,101.1,99.3
3,2018.4,103.4,104.5,106.1,105.7,103.9,100.1,100.1,100.2,100.9,99.4
4,2018.3,103.1,104.1,105.0,105.1,103.7,100.2,100.0,100.3,100.9,99.7
5,2018.2,103.7,104.8,106.4,105.9,104.2,100.3,100.0,100.5,101.1,99.9
6,2018.1,104.3,105.7,106.8,107.3,104.9,100.3,100.0,100.8,101.4,99.7
7,2017.12,106.3,108.34,120.67,111.53,106.09,100.65,100.6,101.16,101.32,99.88
8,2017.11,105.8,107.5,110.8,109.7,106.3,100.6,100.4,100.7,101.7,100.0
9,2017.10,106.9,109.0,114.7,111.6,107.5,100.8,100.6,100.9,101.9,100.0
10,2017.9,106.9,109.1,117.2,111.9,107.3,100.7,100.7,101.2,101.3,100.0
11,2017.8,106.4,108.3,118.2,111.0,106.4,100.6,100.7,101.4,100.8,100.0
12,2017.7,105.5,107.3,115.8,109.3,105.8,100.5,100.4,101.2,100.6,100.0
13,2017.6,105.5,107.3,118.3,110.0,105.4,100.5,100.1,101.3,101.0,100.1
14,2017.5,101.0,107.3,122.7,111.1,104.6,100.6,100.3,101.5,101.1,100.2
15,2017.4,101.4,108.4,128.3,113.0,105.2,100.7,100.5,101.5,101.4,99.9
16,2017.3,107.6,110.1,133.7,114.9,106.5,100.7,100.7,101.3,101.4,99.6
17,2017.2,107.8,110.4,136.1,115.5,106.6,100.8,101.1,101.3,101.5,99.4
18,2017.1,106.9,109.1,131.0,112.9,105.9,100.8,101.3,101.1,101.5,99.4
19,2016.12,98.63,98.17,95.4,96.72,98.97,99.96,100.55,100.88,100.04,98.55
20,2016.11,103.3,104.3,114.8,105.8,102.9,100.4,100.9,101.1,100.7,99.0
21,2016.10,101.2,101.6,107.9,101.9,100.9,100.1,100.6,100.9,100.2,98.8
22,2016.9,100.1,100.1,102.1,99.8,100.1,100.0,100.3,100.7,100.5,98.5
23,2016.8,99.2,99.0,96.8,97.7,99.6,100.0,100.1,100.8,100.7,98.7
24,2016.7,98.3,97.7,94.4,95.5,98.8,100.0,100.2,101.1,100.6,98.6
25,2016.6,97.4,96.5,91.8,93.9,98.0,99.9,100.6,101.0,100.0,98.3
26,2016.5,97.2,96.3,90.4,92.8,98.2,99.8,100.6,100.7,99.7,98.3
27,2016.4,96.62,95.51,87.02,92.34,97.51,99.79,100.67,100.74,99.48,98.29
28,2016.3,95.68,94.26,83.73,91.21,96.38,99.76,100.66,100.77,99.42,98.25
29,2016.2,95.1,93.5,81.8,91.1,95.5,99.6,100.4,100.7,99.0,98.3
30,2016.1,94.7,93.1,80.2,90.9,95.1,99.5,100.2,100.7,98.8,98.4
31,2015.12,94.79,93.25,80.32,90.45,95.74,99.73,99.98,100.66,99.1,99.2
32,2015.11,94.1,92.4,80.1,89.3,94.8,99.6,99.8,100.7,99.1,99.0
33,2015.10,94.1,92.4,79.2,89.2,95.1,99.6,99.8,100.8,99.0,99.2
34,2015.9,94.06,92.28,78.77,88.64,95.18,99.75,100.03,100.83,98.98,99.42
35,2015.8,94.08,92.34,79.13,88.89,95.14,99.67,100.14,100.59,98.85,99.22
36,2015.7,94.63,93.05,80.56,90.32,95.47,99.72,100.17,100.54,99.0,99.25
37,2015.6,95.19,93.76,81.48,91.52,95.95,99.77,100.06,100.51,99.27,99.35
38,2015.5,95.39,94.05,80.78,92.09,96.21,99.71,100.11,100.48,99.42,98.93
39,2015.4,95.43,94.08,80.37,91.73,96.47,99.77,100.09,100.51,99.45,99.13
40,2015.3,95.44,94.07,80.44,91.63,96.5,99.86,99.97,100.74,99.6,99.38
41,2015.2,95.2,93.76,79.88,90.79,96.47,99.87,99.86,100.75,99.82,99.37
42,2015.1,95.68,94.4,82.55,91.42,96.9,99.85,99.74,100.84,99.92,99.32
43,2014.12,96.68,97.53,93.5,97.01,98.16,99.98,100.16,100.69,100.01,99.17
44,2014.11,97.31,96.51,89.35,95.31,97.75,99.87,99.85,100.5,100.07,99.31
45,2014.10,97.76,97.05,91.13,96.32,97.95,100.04,100.17,100.51,100.28,99.31
46,2014.9,98.2,97.61,93.32,97.28,98.17,100.11,100.35,100.65,100.36,99.17
47,2014.8,98.8,98.35,95.56,98.52,98.55,100.24,100.62,100.67,100.44,99.22
48,2014.7,99.13,98.78,96.63,99.22,98.81,100.26,100.71,100.74,100.42,99.12
49,2014.6,98.89,98.47,96.0,98.54,98.69,100.23,100.69,100.79,100.31,99.11
50,2014.5,98.55,98.05,95.13,97.96,98.38,100.17,100.41,100.82,100.17,99.4
51,2014.4,98.0,97.39,93.94,96.94,97.93,99.94,100.08,100.73,99.95,99.22
52,2014.3,97.7,97.05,93.34,96.19,97.79,99.79,99.78,100.83,99.89,99.06
53,2014.2,97.98,97.46,94.67,96.78,98.03,99.67,99.7,100.77,99.67,98.94
54,2014.1,98.36,97.95,95.95,97.52,98.34,99.65,99.91,100.72,99.49,98.76
55,2013.12,98.09,97.43,94.29,96.92,97.97,100.19,100.71,101.22,99.61,99.1
56,2013.11,98.58,98.09,95.82,97.55,98.56,100.11,100.76,101.19,99.59,98.96
57,2013.10,98.49,98.03,95.91,97.43,98.5,99.97,100.53,101.21,99.36,98.95
58,2013.9,98.66,98.25,96.0,97.96,98.6,99.94,100.4,101.03,99.42,99.07
59,2013.8,98.38,97.86,95.82,97.64,98.15,100.0,100.48,101.08,99.59,99.02
60,2013.7,97.73,97.02,94.01,96.77,97.42,99.98,100.41,101.04,99.49,99.14
61,2013.6,97.3,96.47,91.45,95.82,97.25,99.97,100.38,101.03,99.48,99.19
62,2013.5,97.13,96.21,91.01,94.87,97.35,100.09,100.44,101.23,99.73,99.19
63,2013.4,97.38,96.48,91.77,95.21,97.54,100.29,100.57,101.31,100.09,99.4
64,2013.3,98.08,97.32,94.39,96.8,97.85,100.51,101.18,101.38,100.27,99.21
65,2013.2,98.37,97.63,94.78,97.41,98.02,100.74,101.56,101.5,100.63,99.16
66,2013.1,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02
67,2012.12,98.06,97.29,93.9,97.56,97.26,100.53,100.88,101.32,100.8,99.08
