,code,name
0,116119.SZ,周燃05
1,116118.SZ,周燃04
2,116117.SZ,周燃03
3,149265.SH,中垠1A4
4,149264.SH,中垠1A3
5,146194.SH,中泰1优B
6,142373.SH,中融优B
7,149072.SH,中建材2A
8,146077.SH,中海优3
9,116648.SZ,中和1优A
10,116938.SZ,中和04优
11,116893.SZ,中和03优
12,116783.SZ,中和02优
13,146908.SH,中飞租08
14,146907.SH,中飞租07
15,146906.SH,中飞租06
16,146905.SH,中飞租05
17,146904.SH,中飞租04
18,146903.SH,中飞租03
19,146902.SH,中飞租02
20,116327.SZ,中安1优4
21,116326.SZ,中安1优3
22,146717.SH,浙商1A3
23,146138.SH,郑银2A3
24,146137.SH,郑银2A2
25,142284.SH,郑银1A3
26,149484.SH,正荣优
27,116146.SZ,招商创业
28,116905.SZ,招碧01A
29,142887.SH,枣优A9
30,142886.SH,枣优A8
31,142885.SH,枣优A7
32,142884.SH,枣优A6
33,142883.SH,枣优A5
34,142882.SH,枣优A4
35,142881.SH,枣优A3
36,142888.SH,枣优A10
37,142912.SH,YX优B
38,131123.SH,渝西永6
39,131122.SH,渝西永5
40,131121.SH,渝西永4
41,119411.SZ,云享优先
42,116864.SZ,云纺优C
43,116863.SZ,云纺优B
44,116862.SZ,云纺优A3
45,116861.SZ,云纺优A2
46,116860.SZ,云纺优A1
47,136740.SH,渝钢暂停
48,149726.SH,越物优09
49,149725.SH,越物优08
50,149724.SH,越物优07
51,149723.SH,越物优06
52,149722.SH,越物优05
53,149721.SH,越物优04
54,149720.SH,越物优03
55,149719.SH,越物优02
56,142873.SH,粤科2B
57,149535.SH,远海租A3
58,149534.SH,远海租A2
59,131139.SH,远东五B
60,116220.SZ,远东委A2
61,123898.SH,远东四B
62,116958.SZ,宜信1A
63,116964.SZ,蚁信01A
64,149332.SH,沂水05
65,149331.SH,沂水04
66,149330.SH,沂水03
67,149329.SH,沂水02
68,142785.SH,英才05
69,142784.SH,英才04
70,142783.SH,英才03
71,142782.SH,英才02
72,119426.SZ,亿利2A
73,119416.SZ,亿利1A
74,116878.SZ,逸锟优3
75,116823.SZ,逸锟优2
76,116760.SZ,逸锟优1
77,116634.SZ,逸锟1A1
78,149644.SH,一局优A
79,116969.SZ,一方碧40
80,116935.SZ,一方碧39
81,116933.SZ,一方碧38
82,116930.SZ,一方碧37
83,116921.SZ,一方碧36
84,116912.SZ,一方碧35
85,116901.SZ,一方碧32
86,116829.SZ,一方碧31
87,116817.SZ,一方碧30
88,116813.SZ,一方碧29
89,116810.SZ,一方碧28
90,116807.SZ,一方碧27
91,116806.SZ,一方碧26
92,116780.SZ,一方碧25
93,116775.SZ,一方碧24
94,116770.SZ,一方碧23
95,116769.SZ,一方碧22
96,116765.SZ,一方碧21
