,TRADE_CODE,SEC_NAME,AMOUNT,MATURITYDATE,CARRYDATE,COUPONRATE,COUPONTXT,CLOSE,LATESTPAR,INTERESTFREQUENCY,CASHFLOW_TTM,DEBTTOASSETS,WGSD_LIABS_CURR,ISSUERSHORTENED,ISSUEAMOUNT,COUPONDATETXT,DIRTYPRICE,CLEANPRICE,WGSD_OPER_CF,YIELD_CNBD,DIRTY_CNBD,NET_CNBD,MODIDURA_SHC,ACCRUEDINTEREST_SHC,VOBP_SHC,CNVXTY_SHC,LASTDATE_SHC
116119.SZ,116119,周燃05,AAA,2020/11/30 0:00,2015/12/18 0:00,5.75,预期收益率5.75%,84.2459,100,2,84552300.93,,,周口市天然气,110000000,"每年06月1日和12月1日付息,节假日顺延",85.9,84.2459,,,,,,,,,1899-12-30 00:00:00
116118.SZ,116118,周燃04,AAA,2019/11/30 0:00,2015/12/18 0:00,5.55,预期收益率5.55%,84.7934,100,2,84552300.93,,,周口市天然气,105000000,"每年06月1日和12月1日付息,节假日顺延",86.39,84.7934,,,,,,,,,1899-12-30 00:00:00
116117.SZ,116117,周燃03,AAA,2018/11/30 0:00,2015/12/18 0:00,5.35,预期收益率5.35%,26.2644,40,2,84552300.93,,,周口市天然气,100000000,"每年06月1日和12月1日付息,节假日顺延",26.88,26.2644,,,,,,,,,1899-12-30 00:00:00
149265.SH,149265,中垠1A4,AAA,2021/9/21 0:00,2018/3/16 0:00,6.69,一年定存利率+5.19%,100,100,4,,,,中垠租赁,166000000,"每年0321,0621,0921,1221付息,节假日顺延",101.5579,100,,,,,,,,,1899-12-30 00:00:00
149264.SH,149264,中垠1A3,AAA,2020/9/21 0:00,2018/3/16 0:00,6.49,一年定存利率+4.99%,100,100,4,,,,中垠租赁,166000000,"每年0321,0621,0921,1221付息,节假日顺延",101.5114,100,,,,,,,,,1899-12-30 00:00:00
146194.SH,146194,中泰1优B,AAA,2018/9/8 0:00,2017/9/8 0:00,4.84,预期收益率4.84%,,100,1,-5325298399,74.1847,,中泰证券,950000000,"每年12月15日付息,节假日顺延",,,,,,,,,,,1899-12-30 00:00:00
142373.SH,142373,中融优B,AAA,2018/10/10 0:00,2016/9/27 0:00,5,预期收益率5%,100,100,4,1867768361,88.3509,,中电投融和租赁,70000000,"每年0110,0410,0710,1010付息,节假日顺延",100.9041,100,,,,,,,,,1899-12-30 00:00:00
149072.SH,149072,中建材2A,AAA,2018/12/19 0:00,2017/12/19 0:00,6.3,预期收益率6.3%,100,100,4,9222766.91,90.4783,6733515303,中建信息,425000000,"每年0319,0619,0919,1219付息,节假日顺延",101.5016,100,-945156043.3,,,,,,,,1899-12-30 00:00:00
146077.SH,146077,中海优3,AAA,2019/12/16 0:00,2017/5/31 0:00,5.3,预期收益率5.3%,100,100,4,1261426897,83.177,,中海租赁,310000000,"每年0315,0615,0915,1215付息,节假日顺延",101.3214,100,,,,,,,,,1899-12-30 00:00:00
116648.SZ,116648,中和1优A,AAA,2019/8/19 0:00,2017/8/22 0:00,5.7,预期收益率5.7%,94.38,100,,,,,康平小贷,390000000,"循环期不支付利息,分配期按月付息",,94.38,,,,,,,,,1899-12-30 00:00:00
116938.SZ,116938,中和04优,AAA,2020/5/20 0:00,2018/5/11 0:00,6.45,预期收益率6.45%,100,100,,,,,康平小贷,432500000,"循环期不支付利息,分配期按月付息",,100,,,,,,,,,1899-12-30 00:00:00
116893.SZ,116893,中和03优,AAA,2020/3/18 0:00,2018/3/21 0:00,6.5,预期收益率6.5%,101.86,100,1,,,,康平小贷,432500000,"循环期按年付息,摊还期按月付息",,101.86,,,,,,,,,1899-12-30 00:00:00
116783.SZ,116783,中和02优,AAA,2019/12/18 0:00,2017/12/22 0:00,6.8,预期收益率6.8%,104.75,100,,,,,康平小贷,432500000,,,104.75,,,,,,,,,1899-12-30 00:00:00
146908.SH,146908,中飞租08,AAA,2025/8/11 0:00,2017/12/27 0:00,4,预期收益率4%,100,100,,,,,中飞租赁,17470000,到期一次还本付息,102.8603,100,,,,,,,,,1899-12-30 00:00:00
