证券代码,证券简称,"经营活动产生的现金流量净额/流动负债
[报告期] 2017一季","经营活动产生的现金流量净额/流动负债
[报告期] 2017中报","经营活动产生的现金流量净额/流动负债
[报告期] 2017三季","经营活动产生的现金流量净额/流动负债
[报告期] 2017年报","经营活动产生的现金流量净额/流动负债
[报告期] 2018一季","经营活动产生的现金流量净额/流动负债
[报告期] 2018中报","资产负债率
[报告期] 2017一季
[单位] %","资产负债率
[报告期] 2017中报
[单位] %","资产负债率
[报告期] 2017三季
[单位] %","资产负债率
[报告期] 2017年报
[单位] %","资产负债率
[报告期] 2018一季
[单位] %","资产负债率
[报告期] 2018中报
[单位] %","债项评级
[交易日期] 2018-09-14
[评级机构] 全部评级机构","债项评级
[交易日期] 2018-06-29
[评级机构] 全部评级机构","债项评级
[交易日期] 2018-03-30
[评级机构] 全部评级机构","债项评级
[交易日期] 2017-12-29
[评级机构] 全部评级机构","债项评级
[交易日期] 2017-09-29
[评级机构] 全部评级机构","估价收益率(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2018-06-29","估价收益率(上清所)
[日期] 2018-03-30","估价收益率(上清所)
[日期] 2017-12-29","估价收益率(上清所)
[日期] 2017-09-29","估价修正久期(上清所)
[日期] 2018-09-14","估价修正久期(上清所)
[日期] 2018-06-29","估价修正久期(上清所)
[日期] 2018-03-30","估价修正久期(上清所)
[日期] 2017-12-29","估价修正久期(上清所)
[日期] 2017-09-29"
111026.SZ,05粤交通,0.0844,0.2602,0.4089,0.481,0.1061,0.2935,72.0115,71.264,70.9783,70.866,71.089,71.8168,AAA,AAA,AAA,AAA,AAA,4.1398,4.8593,5.0476,5.3906,4.7275,1.6675,1.8569,1.9978,2.2272,2.4807
111032.SZ,06鲁能债,,0.1174,,0.2386,,0.0359,,75.1384,,74.7875,,71.9297,AAA,AAA,AAA,AAA,AAA,4.1413,4.6063,4.9676,5.2755,4.6173,2.6404,2.7131,2.9395,3.1663,3.4277
111050.SZ,09华菱债,0.015,0.0346,0.0386,0.0831,0.0409,0.1448,84.4842,79.3388,77.7309,66.7885,65.3423,63.2233,AA+,AA+,AA+,AA,AA,6.5725,6.8883,6.8886,9.4602,8.8946,0.4157,0.6115,0.8365,0.9813,1.2157
111062.SZ,10并高铁,,0.1154,,0.1699,,-0.0589,,28.3383,,27.0562,,26.8775,AA+,AA+,AA+,AA+,AA+,4.7754,5.6259,5.5377,5.9219,5.1994,1.4503,1.146,1.3837,1.6117,1.8643
111068.SZ,16清新G1,0.0039,0.0106,0.008,-0.0133,-0.0173,0.0275,62.5918,62.3999,61.494,63.309,61.5386,60.074,AA,AA,AA,AA,AA,4.5901,4.5206,4.6076,4.8628,4.5897,1.0269,1.2307,1.4666,1.6964,1.8754
111069.SZ,16格林G1,0.0111,0.0131,0.0218,0.0236,0.0099,0.0373,60.9456,61.286,64.0624,64.5108,64.8733,64.737,AA,AA,AA,AA,AA,5.1767,5.4194,5.4751,5.6946,5.2777,2.7186,2.9075,3.1411,3.366,3.4676
111070.SZ,17恒逸01,0.007,0.0182,0.0415,0.0312,0.0055,0.0254,61.0658,61.2088,60.3309,60.8868,63.8613,64.7841,AA+,AA+,AA,AA,AA,7.6126,7.4923,7.3494,7.6781,7.7902,3.2993,3.2165,3.4549,3.6231,3.8466
111071.SZ,18河钢G1,0.0425,0.0514,0.1064,0.1449,0.0377,0.037,74.7918,74.9307,74.4907,74.9358,74.9877,73.8035,AAA,AAA,AAA,,,5.0689,5.3001,,,,3.8468,4.0361,,,
111072.SZ,18美尚01,-0.0938,-0.0911,-0.1269,-0.0596,-0.0131,0.0316,45.5234,50.1003,49.8655,58.112,56.8066,57.78,AAA,,,,,,,,,,,,,,
112025.SZ,11珠海债,0.0648,0.1299,0.1732,0.3948,0.0178,0.0599,48.6968,48.9459,49.7912,47.7613,50.2511,51.2371,AA,AA,AA,AA,AA,3.9039,4.9844,5.0825,5.6297,5.011,0.4521,0.6495,0.8794,1.0453,1.2892
