,open,close,high,low,volume,money
2018-09-10,221.48,221.49,221.49,221.47,85256800.0,820404809.3
2018-09-11,221.52,221.49,221.52,221.48,88782900.0,867115209.1
2018-09-12,221.52,221.5,221.52,221.49,100558700.0,979236925.5
2018-09-13,221.53,221.54,221.54,221.51,145912700.0,1433673180.4
2018-09-14,221.57,221.6,221.6,221.57,134535100.0,1317194050.2
2018-09-17,221.69,221.68,221.69,221.66,103351800.0,1004811734.8
2018-09-18,221.71,221.71,221.72,221.69,102456100.0,977867203.4
2018-09-19,221.74,221.75,221.76,221.74,105172400.0,1024099435.9
2018-09-20,221.78,221.78,221.79,221.77,234780800.0,2184210526.2
2018-09-21,221.81,221.84,221.84,221.8,129928100.0,1112875095.2
2018-09-25,221.98,221.97,221.98,221.96,133863200.0,1312840737.4
2018-09-26,222.0,222.02,222.03,222.0,85348900.0,835493115.7
2018-09-27,222.05,222.06,222.07,222.05,109133500.0,1073090090.0
2018-09-28,222.1,222.13,222.13,222.1,82186600.0,802457389.8
2018-10-08,222.43,222.41,222.43,222.4,130189300.0,1233184287.0
2018-10-09,222.44,222.43,222.44,222.42,155198100.0,1476354655.3
2018-10-10,222.46,222.47,222.47,222.45,130226200.0,1274992368.2
2018-10-11,222.5,222.49,222.51,222.49,188606700.0,1816944175.2
2018-10-12,222.53,222.53,222.54,222.52,92149500.0,865960953.4
2018-10-15,222.63,222.62,222.64,222.61,192127600.0,1883377789.1
2018-10-16,222.65,222.68,222.68,222.64,163294600.0,1598735547.7
2018-10-17,222.71,222.7,222.71,222.69,109264100.0,1048059494.6
2018-10-18,222.73,222.72,222.73,222.69,105745100.0,979899093.3
2018-10-19,222.75,222.76,222.76,222.74,95928200.0,899700097.9
2018-10-22,222.85,222.85,222.87,222.85,121349600.0,1131301737.6
2018-10-23,222.89,222.89,222.89,222.89,0.0,0.0
