,open,close,high,low,volume,money
2018-09-10,3271.38,3230.07,3277.88,3227.85,6381705100.0,76175580336.9
2018-09-11,3229.71,3224.21,3245.62,3209.11,5849130500.0,67722118923.3
2018-09-12,3216.99,3202.02,3225.6,3194.98,5462789900.0,68887020055.9
2018-09-13,3239.69,3236.57,3249.59,3191.4,6729032700.0,85887962112.6
2018-09-14,3242.83,3242.09,3254.1,3227.94,6013064000.0,76481211955.9
2018-09-17,3224.93,3204.92,3230.79,3200.51,5225954700.0,60650940907.6
2018-09-18,3193.64,3269.43,3270.11,3193.64,7042503500.0,83899137593.0
2018-09-19,3262.0,3312.48,3335.99,3258.31,8917066600.0,109395423837.7
2018-09-20,3314.88,3310.13,3332.31,3303.07,6456105700.0,76660845175.0
2018-09-21,3320.7,3410.49,3410.49,3307.77,10841600500.0,123573117858.2
2018-09-25,3375.97,3379.8,3394.38,3367.03,6905469300.0,82870029933.1
2018-09-26,3388.56,3417.24,3448.26,3383.24,9317334300.0,119113319089.3
2018-09-27,3415.95,3403.59,3423.71,3394.73,6976524100.0,87573300844.9
2018-09-28,3409.96,3438.86,3444.99,3404.7,8437775600.0,94880274571.6
2018-10-08,3361.56,3290.9,3364.46,3285.25,9788898900.0,114164218382.3
2018-10-09,3290.17,3288.69,3309.8,3276.13,6672327400.0,78372941344.8
2018-10-10,3295.43,3281.6,3315.73,3256.58,6449282800.0,79166808584.8
2018-10-11,3179.54,3124.11,3209.52,3099.04,12094134200.0,125723084486.2
2018-10-12,3123.37,3170.73,3184.12,3094.97,9861115100.0,104423076622.8
2018-10-15,3173.85,3126.45,3183.13,3120.23,6960502300.0,77137696800.3
2018-10-16,3128.58,3100.97,3166.09,3089.37,6888772100.0,75206470956.0
2018-10-17,3140.68,3118.25,3149.13,3062.55,7683713800.0,86132695913.3
2018-10-18,3097.79,3044.39,3097.79,3043.38,7377196800.0,79703731918.5
2018-10-19,3017.75,3134.95,3137.75,3009.5,9883968800.0,110951369122.1
2018-10-22,3159.56,3270.27,3297.38,3159.56,14586204500.0,170651306178.0
2018-10-23,3269.99,3269.99,3269.99,3269.99,0.0,0.0
