,open,close,high,low,volume,money
2018-09-10,166.64,166.61,166.65,166.59,14205300.0,136711118.0
2018-09-11,166.62,166.62,166.63,166.62,8783100.0,85088142.0
2018-09-12,166.64,166.57,166.64,166.57,11072400.0,106488820.0
2018-09-13,166.59,166.58,166.59,166.57,10570900.0,103050892.0
2018-09-14,166.63,166.68,166.68,166.61,18565700.0,180143517.0
2018-09-17,166.73,166.73,166.75,166.73,7838500.0,74079806.0
2018-09-18,166.75,166.75,166.75,166.74,15866500.0,157547838.0
2018-09-19,166.77,166.71,166.77,166.7,10521400.0,102725389.0
2018-09-20,166.72,166.73,166.74,166.7,19243500.0,185681550.0
2018-09-21,166.75,166.75,166.76,166.74,11605400.0,112440900.0
2018-09-25,166.81,166.81,166.81,166.81,12340700.0,120003191.0
2018-09-26,166.82,166.88,166.88,166.82,14183900.0,134243388.0
2018-09-27,166.89,166.88,166.9,166.87,22099800.0,213964366.0
2018-09-28,166.9,166.92,166.92,166.9,16281600.0,153400184.0
2018-10-08,167.08,167.06,167.08,167.05,12832600.0,121753640.0
2018-10-09,167.08,167.1,167.1,167.05,12103000.0,115473062.0
2018-10-10,167.12,167.07,167.12,167.07,15250200.0,144858103.0
2018-10-11,167.09,167.16,167.16,167.08,27412700.0,256403697.0
2018-10-12,167.18,167.18,167.19,167.13,38935600.0,391961461.0
2018-10-15,167.23,167.15,167.23,167.14,8707700.0,81901885.0
2018-10-16,167.16,167.14,167.17,167.13,16799400.0,164285131.0
2018-10-17,167.15,167.17,167.17,167.15,30376600.0,296155332.0
2018-10-18,167.19,167.25,167.25,167.18,28058900.0,270784984.0
2018-10-19,167.26,167.27,167.28,167.26,21075000.0,202881327.0
2018-10-22,167.32,167.29,167.32,167.28,28575100.0,273113367.0
2018-10-23,167.31,167.31,167.31,167.31,0.0,0.0
