,0,1
0,002495.XSHE,2.83
1,603189.XSHG,12.22
2,600552.XSHG,4.09
3,002825.XSHE,14.04
4,002124.XSHE,4.42
5,600333.XSHG,5.16
6,300292.XSHE,3.87
7,300218.XSHE,6.33
8,002715.XSHE,14.35
9,300645.XSHE,30.58
10,300580.XSHE,14.2
11,601002.XSHG,6.09
12,600563.XSHG,46.37
13,000514.XSHE,4.12
14,002789.XSHE,16.42
15,000899.XSHE,4.08
16,603399.XSHG,13.18
17,603611.XSHG,13.42
18,000929.XSHE,6.43
19,603778.XSHG,4.4
20,002519.XSHE,3.82
21,601198.XSHG,10.14
22,300214.XSHE,4.57
23,600125.XSHG,8.37
24,002077.XSHE,4.49
25,600309.XSHG,48.09
26,002910.XSHE,18.02
27,300596.XSHE,28.31
28,603727.XSHG,13.45
29,002357.XSHE,6.15
30,002391.XSHE,11.15
31,002928.XSHE,22.83
32,603321.XSHG,7.83
33,002037.XSHE,7.99
34,300412.XSHE,8.5
35,002597.XSHE,17.05
36,300543.XSHE,16.2
37,600137.XSHG,13.78
38,603311.XSHG,10.63
39,601390.XSHG,7.21
40,300633.XSHE,30.5
41,002464.XSHE,12.53
42,600323.XSHG,13.93
43,300722.XSHE,36.48
44,600268.XSHG,4.12
45,000903.XSHE,2.6
46,000972.XSHE,3.07
47,002774.XSHE,10.88
48,000861.XSHE,2.58
49,300129.XSHE,3.16
50,600435.XSHG,7.78
51,002237.XSHE,8.74
52,603516.XSHG,25.71
53,300488.XSHE,30.28
54,002429.XSHE,2.16
55,300659.XSHE,22.66
56,300548.XSHE,36.25
57,300174.XSHE,18.69
58,002489.XSHE,2.93
59,603258.XSHG,17.0
60,601020.XSHG,10.52
61,002537.XSHE,9.77
62,002644.XSHE,8.62
63,600159.XSHG,2.58
64,000541.XSHE,5.89
65,603685.XSHG,15.75
66,300170.XSHE,9.96
67,300088.XSHE,5.55
68,603757.XSHG,22.35
69,600099.XSHG,6.46
70,603707.XSHG,21.23
71,002563.XSHE,10.85
72,603520.XSHG,20.52
73,600693.XSHG,5.31
74,300336.XSHE,4.62
75,603586.XSHG,13.18
76,600683.XSHG,4.3
77,603986.XSHG,110.0
78,300264.XSHE,5.57
79,002330.XSHE,4.66
80,002223.XSHE,18.77
81,603363.XSHG,13.13
82,603508.XSHG,35.63
83,300037.XSHE,21.06
84,002436.XSHE,4.29
85,603959.XSHG,17.86
86,300293.XSHE,8.16
87,603005.XSHG,20.19
88,002767.XSHE,13.51
89,300168.XSHE,18.97
