,big_grow,big_worth,mid_grow,mid_worth,small_grow,small_worth
2016/9/1,3617.002,5719.298,4461.041,5521.519,6774.7,6332.27
2016/9/2,3633.863,5758.255,4447.276,5514.385,6747.031,6316.576
2016/9/5,3651.525,5765.928,4469.149,5549.142,6794.749,6367.262
2016/9/6,3683.346,5779.251,4529.971,5613.208,6906.021,6454.662
2016/9/7,3669.463,5788.881,4530.972,5613.279,6896.632,6454.07
2016/9/8,3663.916,5788.812,4532.333,5613.394,6928.345,6487.324
2016/9/9,3636.922,5761.89,4496.306,5577.276,6868.35,6427.466
2016/9/12,3576.582,5695.929,4387.105,5458.778,6688.733,6265.057
2016/9/13,3577.081,5677.802,4401.02,5485.942,6731.615,6299.105
2016/9/14,3555.062,5627.05,4369.676,5441.822,6700.876,6259.664
2016/9/19,3578.849,5670.45,4416.548,5488.96,6766.634,6323.451
2016/9/20,3571.426,5662.7,4416.265,5475.642,6754.222,6335.012
2016/9/21,3588.83,5677.838,4415.531,5472.64,6755.121,6340.95
2016/9/22,3619.93,5735.479,4443.214,5511.439,6792.497,6382.836
2016/9/23,3590.551,5709.666,4422.851,5491.783,6785.946,6353.561
2016/9/26,3528.237,5636.94,4327.345,5393.818,6661.466,6253.556
2016/9/27,3558.516,5667.275,4360.426,5433.661,6714.161,6306.949
2016/9/28,3553.941,5649.491,4348.373,5416.541,6723.956,6301.757
2016/9/29,3576.84,5673.688,4357.788,5439.354,6738.775,6318.476
2016/9/30,3593.567,5683.273,4375.625,5455.829,6777.084,6345.441
2016/10/10,3628.924,5737.458,4474.762,5538.588,6910.541,6449.863
2016/10/11,3640.729,5744.464,4491.885,5572.41,6947.057,6492.19
2016/10/12,3633.556,5728.542,4494.85,5556.245,6947.437,6492.865
2016/10/13,3632.351,5721.982,4500.508,5549.584,6944.002,6493.324
2016/10/14,3626.411,5736.23,4482.765,5542.454,6916.667,6487.117
2016/10/17,3584.27,5690.52,4445.042,5502.798,6860.116,6431.947
2016/10/18,3630.173,5751.748,4501.345,5580.31,6945.468,6530.41
2016/10/19,3614.514,5746.301,4480.968,5566.111,6920.242,6504.332
2016/10/20,3615.494,5756.584,4489.462,5568.4,6929.171,6505.464
2016/10/21,3621.287,5794.013,4467.218,5559.54,6899.848,6504.766
2016/10/24,3675.192,5858.738,4503.551,5627.312,6950.525,6568.173
2016/10/25,3674.896,5853.384,4504.239,5662.402,6971.026,6595.117
2016/10/26,3670.032,5818.74,4477.792,5636.404,6930.903,6575.613
2016/10/27,3660.53,5791.834,4473.048,5631.009,6910.917,6571.93
2016/10/28,3660.291,5810.32,4435.766,5584.756,6854.493,6513.368
2016/10/31,3659.882,5807.041,4438.463,5576.676,6826.176,6500.795
2016/11/1,3689.415,5845.507,4481.518,5624.198,6896.029,6549.294
2016/11/2,3657.997,5792.84,4443.456,5564.727,6856.538,6504.42
2016/11/3,3690.517,5851.195,4458.315,5599.422,6886.233,6538.625
2016/11/4,3674.899,5841.953,4443.98,5580.126,6862.172,6506.625
2016/11/7,3674.45,5847.138,4442.094,5621.373,6846.489,6527.808
2016/11/8,3692.796,5860.675,4462.614,5640.168,6894.414,6559.931
2016/11/9,3674.647,5835.397,4426.005,5610.81,6855.148,6522.113
2016/11/10,3716.635,5896.315,4474.351,5703.859,6917.337,6604.301
2016/11/11,3756.667,5927.41,4481.273,5783.299,6936.258,6661.419
2016/11/14,3766.203,5939.214,4499.969,5832.469,6955.459,6685.315
2016/11/15,3775.031,5933.242,4524.492,5830.639,6993.925,6692.337
2016/11/16,3775.477,5930.062,4540.162,5835.452,7002.518,6700.289
2016/11/17,3774.431,5951.799,4528.338,5846.261,6968.885,6709.283
2016/11/18,3745.368,5933.704,4506.534,5803.704,6942.478,6676.758
2016/11/21,3756.245,5994.45,4508.353,5830.112,6942.496,6690.166
2016/11/22,3785.861,6041.475,4537.72,5879.426,6994.125,6740.133
2016/11/23,3798.461,6092.895,4519.366,5855.684,6950.458,6703.404
2016/11/24,3828.134,6125.979,4509.77,5885.888,6931.794,6712.979
2016/11/25,3861.289,6202.634,4533.11,5916.407,6962.124,6742.756
2016/11/28,3862.333,6230.225,4534.17,5957.498,6972.923,6782.587
2016/11/29,3902.211,6298.925,4518.515,5925.857,6931.602,6736.991
2016/11/30,3881.718,6241.051,4504.108,5861.448,6922.231,6680.506
2016/12/1,3925.905,6289.766,4518.275,5938.922,6950.612,6732.289
2016/12/2,3864.95,6244.107,4452.808,5849.843,6846.595,6648.953
2016/12/5,3762.231,6129.036,4452.294,5803.723,6817.271,6582.5
2016/12/6,3755.456,6107.468,4450.978,5789.771,6814.705,6583.021
2016/12/7,3768.002,6112.874,4492.164,5845.294,6865.245,6657.837
2016/12/8,3760.049,6130.163,4468.169,5819.213,6840.323,6636.353
2016/12/9,3779.059,6217.989,4451.283,5819.93,6805.974,6636.629
2016/12/12,3669.679,6146.393,4276.316,5628.434,6506.526,6376.558
2016/12/13,3664.545,6103.098,4275.124,5646.295,6520.77,6401.049
2016/12/14,3624.948,6067.694,4231.382,5608.881,6488.154,6374.437
2016/12/15,3591.07,5930.193,4246.121,5613.746,6510.388,6406.446
2016/12/16,3604.061,5923.448,4276.916,5628.113,6564.339,6441.949
2016/12/19,3568.12,5886.374,4268.477,5629.097,6543.516,6463.925
2016/12/20,3549.799,5837.731,4257.349,5590.788,6535.284,6433.952
2016/12/21,3572.218,5877.866,4291.952,5659.205,6561.549,6481.562
2016/12/22,3563.573,5871.476,4289.574,5668.88,6555.219,6490.892
