证券代码,证券简称,估价全价 2017-10-10,估价修正久期 2017-10-10,估价全价 2017-12-29,估价修正久期 2017-12-29,估价全价 2018-03-30,估价修正久期 2018-03-30,估价全价 2018-06-29,估价修正久期 2018-09-14,估价全价 2018-09-14,估价修正久期 2018-06-29
010107.SH,21国债(7),102.6254,3.3989,102.7811,3.1803,102.3037,3.0125,103.9766,2.6311,102.5111,2.7797
010303.SH,03国债(3),99.5836,4.8032,97.995,4.6663,99.5011,4.4331,99.8732,4.0753,100.3241,4.2824
010504.SH,05国债(4),103.1508,6.2596,100.9992,6.159,102.7073,5.9296,103.1204,5.6127,103.0521,5.8283
010512.SH,05国债(12),101.2163,2.8078,99.7156,2.6411,101.3244,2.4077,100.849,2.0114,101.7816,2.2133
010609.SH,06国债(9),101.0986,7.18,98.3335,7.0695,100.3057,6.8461,100.6607,6.5312,100.558,6.748
010619.SH,06国债(19),99.2272,3.6724,97.6645,3.5128,99.2865,3.2801,99.4012,2.8953,99.9316,3.1012
010706.SH,07国债06,102.9187,12.7735,99.6514,12.7434,103.0252,12.5999,105.1384,12.4879,104.5763,12.7455
010713.SH,07国债13,107.1704,7.7835,105.9231,7.5328,105.9235,7.4749,108.496,7.1926,106.0431,7.2624
019002.SH,10国债02,100.3834,2.1582,100.7116,1.9422,100.5326,1.7397,101.6291,1.3243,100.9831,1.5009
019003.SH,10国债03,98.3064,14.1545,96.7008,13.8144,98.313,13.9953,102.8563,13.9089,99.7434,13.9252
019007.SH,10国债07,99.8095,2.2905,100.1234,2.0742,99.9813,1.8711,101.0981,1.4318,102.1358,1.6327
019009.SH,10国债09,103.3031,9.4613,100.8176,9.4023,103.5325,9.2031,103.9943,8.9525,103.9936,9.1735
019012.SH,10国债12,100.3926,2.3818,99.1061,2.2034,100.6685,1.9694,100.2186,1.5609,101.248,1.7619
019014.SH,10国债14,,,94.0263,19.4571,98.8631,19.6414,101.1218,19.4307,97.211,20.1464
019018.SH,10国债18,97.984,14.1764,94.3487,14.1246,98.0034,14.0218,100.5161,13.9393,99.3852,14.2366
019019.SH,10国债19,100.655,2.4899,99.2722,2.3129,100.8214,2.0788,100.306,1.6712,101.294,1.8725
