,symbol,special_type,shenwan_industry,status
002495.XSHE,佳隆股份,Normal,801120.INDX,Active
603189.XSHG,网达软件,Normal,801750.INDX,Active
600552.XSHG,凯盛科技,Normal,801080.INDX,Active
002825.XSHE,纳尔股份,Normal,801030.INDX,Active
000675.XSHE,ST银山,ST,,Delisted
002124.XSHE,天邦股份,Normal,801010.INDX,Active
600333.XSHG,长春燃气,Normal,801160.INDX,Active
300292.XSHE,吴通控股,Normal,801770.INDX,Active
300218.XSHE,安利股份,Normal,801030.INDX,Active
000015.XSHE,PT中浩A,PT,,Delisted
002715.XSHE,登云股份,Normal,801880.INDX,Active
300645.XSHE,正元智慧,Normal,801750.INDX,Active
300580.XSHE,贝斯特,Normal,801880.INDX,Active
601002.XSHG,晋亿实业,Normal,801890.INDX,Active
600563.XSHG,法拉电子,Normal,801080.INDX,Active
000514.XSHE,渝开发,Normal,801180.INDX,Active
000866.XSHE,扬子石化,Normal,,Delisted
002789.XSHE,建艺集团,Normal,801720.INDX,Active
000899.XSHE,赣能股份,Normal,801160.INDX,Active
603399.XSHG,吉翔股份,Normal,801050.INDX,Active
603611.XSHG,诺力股份,Normal,801890.INDX,Active
000929.XSHE,兰州黄河,Normal,801120.INDX,Active
603778.XSHG,乾景园林,Normal,801720.INDX,Active
002519.XSHE,银河电子,Normal,801110.INDX,Active
601198.XSHG,东兴证券,Normal,801790.INDX,Active
300214.XSHE,日科化学,Normal,801030.INDX,Active
600125.XSHG,铁龙物流,Normal,801170.INDX,Active
002077.XSHE,大港股份,Normal,801080.INDX,Active
600309.XSHG,万华化学,Normal,801030.INDX,Active
600832.XSHG,东方明珠,Normal,,Delisted
002910.XSHE,庄园牧场,Normal,801120.INDX,Active
300596.XSHE,利安隆,Normal,801030.INDX,Active
603727.XSHG,博迈科,Normal,801020.INDX,Active
002357.XSHE,富临运业,Normal,801170.INDX,Active
002391.XSHE,长青股份,Normal,801030.INDX,Active
002928.XSHE,华夏航空,Normal,801170.INDX,Active
603321.XSHG,梅轮电梯,Normal,801890.INDX,Active
002037.XSHE,久联发展,Normal,801030.INDX,Active
300412.XSHE,迦南科技,Normal,801150.INDX,Active
002597.XSHE,金禾实业,Normal,801030.INDX,Active
300543.XSHE,朗科智能,Normal,801080.INDX,Active
600137.XSHG,浪莎股份,Normal,801130.INDX,Active
603311.XSHG,金海环境,Normal,801890.INDX,Active
601390.XSHG,中国中铁,Normal,801720.INDX,Active
300633.XSHE,开立医疗,Normal,801150.INDX,Active
002464.XSHE,众应互联,Normal,801760.INDX,Active
600323.XSHG,瀚蓝环境,Normal,801160.INDX,Active
300722.XSHE,新余国科,Normal,801740.INDX,Active
600268.XSHG,国电南自,Normal,801730.INDX,Active
000903.XSHE,云内动力,Normal,801880.INDX,Active
000972.XSHE,*ST中基,StarST,801010.INDX,Active
002774.XSHE,快意电梯,Normal,801890.INDX,Active
000861.XSHE,海印股份,Normal,801200.INDX,Active
300129.XSHE,泰胜风能,Normal,801730.INDX,Active
600435.XSHG,北方导航,Normal,801740.INDX,Active
002237.XSHE,恒邦股份,Normal,801050.INDX,Active
603516.XSHG,淳中科技,Normal,801750.INDX,Active
300488.XSHE,恒锋工具,Normal,801890.INDX,Active
002429.XSHE,兆驰股份,Normal,801110.INDX,Active
300659.XSHE,中孚信息,Normal,801750.INDX,Active
300548.XSHE,博创科技,Normal,801770.INDX,Active
300174.XSHE,元力股份,Normal,801030.INDX,Active
002489.XSHE,浙江永强,Normal,801140.INDX,Active
603258.XSHG,电魂网络,Normal,801760.INDX,Active
601020.XSHG,华钰矿业,Normal,801050.INDX,Active
002537.XSHE,海联金汇,Normal,801890.INDX,Active
002644.XSHE,佛慈制药,Normal,801150.INDX,Active
600159.XSHG,大龙地产,Normal,801180.INDX,Active
000541.XSHE,佛山照明,Normal,801080.INDX,Active
603685.XSHG,晨丰科技,Normal,801080.INDX,Active
300170.XSHE,汉得信息,Normal,801750.INDX,Active
300088.XSHE,长信科技,Normal,801080.INDX,Active
603757.XSHG,大元泵业,Normal,801890.INDX,Active
600099.XSHG,林海股份,Normal,801880.INDX,Active
603707.XSHG,健友股份,Normal,801150.INDX,Active
002563.XSHE,森马服饰,Normal,801130.INDX,Active
601606.XSHG,长城军工,Normal,,UNKNOWN
603520.XSHG,司太立,Normal,801150.INDX,Active
600693.XSHG,东百集团,Normal,801200.INDX,Active
300336.XSHE,新文化,Normal,801760.INDX,Active
603586.XSHG,金麒麟,Normal,801880.INDX,Active
600683.XSHG,京投发展,Normal,801180.INDX,Active
603986.XSHG,兆易创新,Normal,801080.INDX,Active
300264.XSHE,佳创视讯,Normal,801750.INDX,Active
002330.XSHE,得利斯,Normal,801120.INDX,Active
002223.XSHE,鱼跃医疗,Normal,801150.INDX,Active
603363.XSHG,傲农生物,Normal,801010.INDX,Active
603508.XSHG,思维列控,Normal,801750.INDX,Active
300037.XSHE,新宙邦,Normal,801030.INDX,Active
002436.XSHE,兴森科技,Normal,801080.INDX,Active
000805.XSHE,*ST炎黄,StarST,,Delisted
603959.XSHG,百利科技,Normal,801720.INDX,Active
300293.XSHE,蓝英装备,Normal,801890.INDX,Active
603005.XSHG,晶方科技,Normal,801080.INDX,Active
002767.XSHE,先锋电子,Normal,801730.INDX,Active
300168.XSHE,万达信息,Normal,801750.INDX,Active
603003.XSHG,龙宇燃油,Normal,801030.INDX,Active
600276.XSHG,恒瑞医药,Normal,801150.INDX,Active
002922.XSHE,伊戈尔,Normal,801080.INDX,Active
300038.XSHE,梅泰诺,Normal,801760.INDX,Active
603725.XSHG,天安新材,Normal,801710.INDX,Active
002154.XSHE,报喜鸟,Normal,801130.INDX,Active
002630.XSHE,华西能源,Normal,801730.INDX,Active
002370.XSHE,亚太药业,Normal,801150.INDX,Active
603758.XSHG,秦安股份,Normal,801880.INDX,Active
002915.XSHE,中欣氟材,Normal,801030.INDX,Active
603678.XSHG,火炬电子,Normal,801080.INDX,Active
300073.XSHE,当升科技,Normal,801030.INDX,Active
601126.XSHG,四方股份,Normal,801730.INDX,Active
