,open,close,high,low
2016-09-01,3661.097,3617.002,3662.577,3616.027
2016-09-02,3619.322,3633.863,3659.344,3616.659
2016-09-05,3651.788,3651.526,3676.786,3642.655
2016-09-06,3662.179,3683.346,3686.837,3630.186
2016-09-07,3684.455,3669.464,3688.233,3666.027
2016-09-08,3665.645,3663.917,3676.902,3651.099
2016-09-09,3664.392,3636.923,3671.724,3636.664
2016-09-12,3580.991,3576.582,3592.723,3549.766
2016-09-13,3582.791,3577.081,3586.367,3561.761
2016-09-14,3561.34,3555.063,3575.271,3545.358
2016-09-19,3558.512,3578.849,3587.715,3558.512
2016-09-20,3581.509,3571.427,3581.535,3564.063
2016-09-21,3573.004,3588.83,3592.069,3566.113
2016-09-22,3607.299,3619.931,3631.417,3601.168
2016-09-23,3618.766,3590.551,3622.068,3590.543
2016-09-26,3581.216,3528.237,3581.43,3527.823
2016-09-27,3522.863,3558.517,3558.822,3522.863
2016-09-28,3559.577,3553.942,3568.768,3544.116
2016-09-29,3557.938,3576.84,3596.757,3557.884
2016-09-30,3570.642,3593.568,3604.246,3569.271
2016-10-10,3600.259,3628.925,3631.577,3585.224
2016-10-11,3627.958,3640.729,3643.898,3620.908
2016-10-12,3631.386,3633.556,3635.751,3620.479
2016-10-13,3633.423,3632.351,3645.388,3623.662
2016-10-14,3628.421,3626.412,3628.722,3608.356
2016-10-17,3626.893,3584.27,3628.368,3578.719
2016-10-18,3578.052,3630.174,3630.174,3578.052
2016-10-19,3632.227,3614.514,3637.225,3608.19
2016-10-20,3618.662,3615.495,3625.729,3610.919
2016-10-21,3612.781,3621.288,3639.627,3602.897
2016-10-24,3635.97,3675.192,3702.0,3628.606
2016-10-25,3672.167,3674.897,3683.409,3663.81
2016-10-26,3673.918,3670.032,3679.927,3659.471
2016-10-27,3664.107,3660.53,3666.271,3648.175
2016-10-28,3667.933,3660.291,3708.715,3657.43
2016-10-31,3648.278,3659.882,3668.6,3629.457
2016-11-01,3662.364,3689.415,3692.33,3659.528
2016-11-02,3678.173,3657.997,3694.163,3657.227
2016-11-03,3646.617,3690.517,3717.491,3644.698
2016-11-04,3685.849,3674.899,3707.998,3668.404
2016-11-07,3673.666,3674.45,3685.279,3660.857
2016-11-08,3693.505,3692.796,3706.955,3681.279
2016-11-09,3694.837,3674.647,3699.575,3641.428
2016-11-10,3700.63,3716.64,3744.1,3700.41
2016-11-11,3717.716,3756.667,3762.975,3702.186
2016-11-14,3751.12,3766.203,3809.869,3747.433
2016-11-15,3759.77,3775.031,3775.031,3748.609
2016-11-16,3780.404,3775.477,3784.684,3765.149
2016-11-17,3765.701,3774.431,3778.886,3749.99
2016-11-18,3770.553,3745.368,3780.662,3740.891
2016-11-21,3735.799,3756.245,3785.028,3734.478
2016-11-22,3759.884,3785.861,3787.827,3758.106
2016-11-23,3800.154,3798.461,3821.512,3789.015
2016-11-24,3788.577,3828.134,3855.973,3785.887
2016-11-25,3825.44,3861.289,3861.289,3783.157
2016-11-28,3884.958,3862.333,3897.039,3851.516
2016-11-29,3853.842,3902.211,3922.974,3845.862
2016-11-30,3900.083,3881.718,3919.223,3869.296
2016-12-01,3894.678,3925.905,3932.097,3890.513
2016-12-02,3916.253,3864.95,3916.253,3855.39
2016-12-05,3787.81,3762.231,3824.656,3753.15
2016-12-06,3761.412,3755.457,3779.239,3753.64
2016-12-07,3753.067,3768.002,3768.201,3740.577
2016-12-08,3774.693,3760.049,3774.799,3755.528
2016-12-09,3756.741,3779.059,3795.452,3752.443
