,open,close,high,low
2016-09-01,5755.252,5719.299,5758.149,5717.248
2016-09-02,5721.829,5758.255,5761.768,5721.829
2016-09-05,5769.164,5765.929,5791.151,5756.298
2016-09-06,5774.168,5779.251,5801.791,5745.341
2016-09-07,5782.277,5788.881,5811.957,5775.938
2016-09-08,5785.379,5788.812,5796.188,5775.608
2016-09-09,5785.945,5761.89,5797.604,5761.742
2016-09-12,5693.413,5695.93,5700.782,5633.403
2016-09-13,5689.082,5677.803,5693.258,5657.36
2016-09-14,5653.803,5627.05,5662.769,5616.061
2016-09-19,5631.782,5670.45,5671.587,5631.782
2016-09-20,5671.481,5662.7,5672.42,5655.276
2016-09-21,5663.733,5677.838,5681.32,5655.13
2016-09-22,5699.342,5735.48,5753.079,5692.997
2016-09-23,5733.604,5709.667,5737.178,5705.632
2016-09-26,5690.005,5636.941,5690.45,5636.116
2016-09-27,5626.851,5667.275,5667.675,5626.168
2016-09-28,5668.781,5649.492,5672.737,5645.103
2016-09-29,5658.098,5673.688,5691.708,5657.609
2016-09-30,5665.07,5683.274,5700.214,5663.426
2016-10-10,5697.888,5737.458,5741.988,5684.466
2016-10-11,5739.292,5744.464,5761.256,5728.341
2016-10-12,5732.86,5728.543,5733.346,5713.261
2016-10-13,5727.678,5721.982,5737.006,5707.596
2016-10-14,5718.004,5736.23,5739.154,5708.17
2016-10-17,5729.715,5690.521,5734.02,5681.285
2016-10-18,5681.865,5751.749,5755.162,5681.812
2016-10-19,5751.656,5746.302,5772.571,5739.535
2016-10-20,5747.534,5756.585,5765.433,5745.08
2016-10-21,5750.176,5794.013,5803.404,5748.46
2016-10-24,5795.4,5858.738,5894.195,5794.995
2016-10-25,5857.751,5853.385,5872.866,5836.983
2016-10-26,5847.229,5818.74,5847.229,5815.834
2016-10-27,5814.032,5791.834,5816.596,5775.031
2016-10-28,5793.705,5810.32,5847.223,5793.705
2016-10-31,5797.199,5807.041,5814.815,5765.928
2016-11-01,5810.217,5845.507,5845.95,5801.555
2016-11-02,5827.08,5792.84,5828.353,5789.197
2016-11-03,5783.12,5851.195,5870.916,5780.589
2016-11-04,5847.398,5841.953,5877.607,5832.035
2016-11-07,5841.894,5847.138,5857.164,5826.269
2016-11-08,5861.217,5860.675,5887.036,5849.372
2016-11-09,5860.592,5835.397,5867.735,5789.448
