,open,close,high,low
2016-09-01,4492.073,4461.041,4501.737,4460.649
2016-09-02,4451.568,4447.276,4476.446,4422.033
2016-09-05,4456.0,4469.149,4489.684,4456.0
2016-09-06,4473.827,4529.971,4530.768,4438.679
2016-09-07,4531.059,4530.972,4559.552,4524.411
2016-09-08,4524.612,4532.333,4533.74,4508.088
2016-09-09,4537.95,4496.307,4542.566,4495.803
2016-09-12,4423.719,4387.106,4441.002,4369.019
2016-09-13,4405.991,4401.02,4421.499,4381.534
2016-09-14,4385.38,4369.676,4403.962,4359.194
2016-09-19,4384.749,4416.548,4416.548,4384.749
2016-09-20,4417.741,4416.266,4425.095,4404.203
2016-09-21,4414.62,4415.532,4428.718,4409.054
2016-09-22,4442.786,4443.215,4457.083,4437.432
2016-09-23,4452.864,4422.852,4455.768,4421.865
2016-09-26,4413.232,4327.345,4413.232,4326.593
2016-09-27,4321.992,4360.427,4360.578,4297.167
2016-09-28,4370.427,4348.374,4370.489,4339.004
2016-09-29,4353.605,4357.789,4376.346,4353.605
2016-09-30,4355.473,4375.625,4381.292,4352.446
2016-10-10,4402.063,4474.762,4474.893,4395.688
2016-10-11,4474.863,4491.886,4491.92,4469.029
2016-10-12,4479.499,4494.85,4505.577,4473.936
2016-10-13,4492.096,4500.509,4509.321,4481.168
2016-10-14,4491.962,4482.765,4491.975,4455.208
2016-10-17,4487.386,4445.042,4494.642,4435.805
2016-10-18,4441.926,4501.345,4501.345,4441.188
2016-10-19,4509.426,4480.968,4511.687,4472.463
2016-10-20,4480.875,4489.463,4493.896,4471.581
2016-10-21,4492.927,4467.218,4497.022,4443.083
2016-10-24,4467.417,4503.552,4513.42,4461.3
2016-10-25,4505.648,4504.24,4513.198,4492.973
2016-10-26,4507.022,4477.792,4507.022,4468.13
2016-10-27,4478.094,4473.048,4478.471,4454.044
2016-10-28,4470.685,4435.766,4486.82,4435.655
2016-10-31,4427.542,4438.463,4446.576,4406.866
2016-11-01,4448.103,4481.519,4483.514,4441.989
2016-11-02,4470.535,4443.456,4476.042,4438.516
2016-11-03,4433.748,4458.315,4477.016,4426.75
2016-11-04,4458.038,4443.979,4473.746,4436.857
2016-11-07,4446.806,4442.094,4459.323,4431.101
2016-11-08,4457.661,4462.614,4474.642,4449.313
2016-11-09,4463.134,4426.005,4465.926,4379.87
2016-11-10,4459.4,4474.35,4486.41,4459.4
2016-11-11,4474.759,4481.272,4481.589,4457.914
2016-11-14,4480.578,4499.969,4514.667,4476.835
2016-11-15,4508.047,4524.492,4524.607,4494.518
2016-11-16,4531.835,4540.162,4551.678,4529.896
2016-11-17,4528.247,4528.338,4533.61,4502.076
2016-11-18,4526.946,4506.535,4539.282,4502.069
2016-11-21,4507.302,4508.354,4530.574,4496.584
2016-11-22,4518.303,4537.72,4538.105,4510.078
2016-11-23,4542.162,4519.366,4547.347,4511.822
2016-11-24,4517.036,4509.77,4534.311,4501.296
2016-11-25,4509.38,4533.11,4533.52,4458.129
2016-11-28,4544.587,4534.17,4551.088,4526.83
2016-11-29,4527.056,4518.515,4550.677,4516.729
2016-11-30,4510.62,4504.108,4530.358,4492.412
2016-12-01,4506.905,4518.275,4523.443,4504.855
2016-12-02,4515.347,4452.808,4519.022,4452.706
2016-12-05,4421.224,4452.294,4472.13,4415.292
2016-12-06,4455.599,4450.978,4470.358,4446.907
2016-12-07,4450.5,4492.164,4492.316,4443.386
2016-12-08,4494.282,4468.169,4495.66,4465.542
2016-12-09,4464.28,4451.283,4474.42,4442.57
2016-12-12,4445.744,4276.316,4447.767,4266.595
2016-12-13,4262.384,4275.124,4287.422,4233.539
2016-12-14,4271.186,4231.382,4277.595,4226.169
2016-12-15,4221.553,4246.121,4271.568,4218.562
2016-12-16,4245.295,4276.916,4282.967,4244.204
2016-12-19,4276.634,4268.477,4282.371,4260.905
2016-12-20,4267.462,4257.35,4268.995,4240.676
2016-12-21,4263.659,4291.952,4292.685,4263.605
2016-12-22,4292.502,4289.574,4295.851,4276.513
2016-12-23,4290.61,4253.328,4293.121,4249.841
2016-12-26,4241.821,4258.16,4258.264,4196.651
2016-12-27,4255.816,4255.151,4269.372,4252.03
2016-12-28,4255.242,4237.883,4259.66,4231.399
2016-12-29,4233.231,4219.663,4245.545,4217.524
2016-12-30,4223.038,4233.318,4238.729,4217.076
2017-01-03,4244.69,4262.396,4264.091,4244.69
2017-01-04,4264.554,4300.605,4300.729,4258.135
2017-01-05,4299.41,4292.637,4306.911,4291.806
2017-01-06,4287.285,4258.379,4288.424,4257.102
2017-01-09,4250.4,4275.321,4277.011,4243.097
2017-01-10,4270.314,4261.628,4279.715,4259.936
