,open,close,high,low
2016-09-01,5575.675,5521.52,5581.381,5520.661
2016-09-02,5513.396,5514.385,5540.183,5485.516
2016-09-05,5527.026,5549.143,5576.032,5527.026
2016-09-06,5551.119,5613.208,5613.987,5512.254
2016-09-07,5609.902,5613.279,5652.057,5605.705
2016-09-08,5611.055,5613.395,5620.094,5584.988
2016-09-09,5620.867,5577.276,5633.156,5576.846
2016-09-12,5493.538,5458.779,5510.5,5418.138
2016-09-13,5475.572,5485.942,5486.698,5454.353
2016-09-14,5458.305,5441.822,5473.816,5428.548
2016-09-19,5453.063,5488.96,5489.312,5453.063
2016-09-20,5485.262,5475.643,5486.983,5463.254
2016-09-21,5472.924,5472.641,5486.854,5464.917
2016-09-22,5506.33,5511.439,5539.828,5506.207
2016-09-23,5527.148,5491.784,5528.551,5489.917
2016-09-26,5482.374,5393.818,5485.648,5392.763
2016-09-27,5383.596,5433.662,5433.988,5371.374
2016-09-28,5444.262,5416.542,5444.262,5410.152
2016-09-29,5426.333,5439.355,5458.796,5426.299
2016-09-30,5430.763,5455.83,5464.984,5427.9
2016-10-10,5493.708,5538.588,5538.797,5476.055
2016-10-11,5548.237,5572.41,5573.432,5542.703
2016-10-12,5554.997,5556.246,5563.504,5530.378
2016-10-13,5551.871,5549.585,5561.492,5530.29
2016-10-14,5540.806,5542.455,5543.913,5505.373
2016-10-17,5546.17,5502.798,5560.836,5491.394
2016-10-18,5501.902,5580.311,5580.311,5500.804
2016-10-19,5589.714,5566.112,5600.556,5550.399
2016-10-20,5564.279,5568.4,5572.426,5548.073
2016-10-21,5562.598,5559.54,5590.517,5524.081
2016-10-24,5559.673,5627.312,5645.867,5552.164
2016-10-25,5633.609,5662.402,5662.413,5625.887
2016-10-26,5654.423,5636.404,5658.103,5619.917
2016-10-27,5629.753,5631.009,5633.077,5605.079
2016-10-28,5628.972,5584.756,5641.497,5583.401
2016-10-31,5574.853,5576.675,5581.895,5543.584
2016-11-01,5589.334,5624.197,5624.803,5575.296
2016-11-02,5610.648,5564.728,5613.72,5558.521
2016-11-03,5549.914,5599.422,5620.812,5541.982
2016-11-04,5596.794,5580.126,5618.498,5571.063
2016-11-07,5585.361,5621.374,5629.851,5570.088
2016-11-08,5637.521,5640.167,5656.614,5617.391
2016-11-09,5641.454,5610.81,5647.021,5545.744
2016-11-10,5662.22,5703.86,5706.33,5662.22
2016-11-11,5703.458,5783.299,5783.976,5694.268
2016-11-14,5772.002,5832.469,5851.456,5771.835
2016-11-15,5844.04,5830.639,5860.035,5804.035
2016-11-16,5841.031,5835.452,5845.883,5805.268
2016-11-17,5821.491,5846.262,5850.992,5799.826
2016-11-18,5839.236,5803.704,5841.509,5791.6
2016-11-21,5795.462,5830.112,5865.436,5794.776
2016-11-22,5837.912,5879.426,5885.191,5837.912
2016-11-23,5881.562,5855.684,5897.092,5839.118
2016-11-24,5872.945,5885.888,5915.229,5869.789
2016-11-25,5885.733,5916.407,5917.246,5818.651
2016-11-28,5933.206,5957.498,5982.583,5920.992
2016-11-29,5934.95,5925.857,5972.629,5920.821
2016-11-30,5906.728,5861.448,5909.541,5840.744
2016-12-01,5875.735,5938.922,5939.208,5875.108
2016-12-02,5930.419,5849.843,5942.349,5843.613
2016-12-05,5786.108,5803.723,5838.625,5777.65
2016-12-06,5810.887,5789.771,5826.759,5782.655
2016-12-07,5790.628,5845.294,5845.954,5771.082
2016-12-08,5848.467,5819.213,5859.555,5813.284
2016-12-09,5807.461,5819.93,5844.481,5802.064
2016-12-12,5826.267,5628.434,5840.712,5619.987
2016-12-13,5609.956,5646.295,5657.871,5569.558
2016-12-14,5633.786,5608.881,5664.068,5598.52
2016-12-15,5588.716,5613.746,5650.135,5582.817
2016-12-16,5608.858,5628.113,5643.437,5599.2
2016-12-19,5625.836,5629.097,5645.194,5609.292
2016-12-20,5623.04,5590.788,5623.948,5564.643
2016-12-21,5599.456,5659.205,5660.264,5599.456
2016-12-22,5655.655,5668.88,5673.314,5639.001
2016-12-23,5671.785,5613.671,5671.785,5606.416
2016-12-26,5598.217,5619.724,5619.913,5531.017
2016-12-27,5612.376,5610.863,5630.281,5607.645
2016-12-28,5611.185,5585.487,5620.373,5573.424
2016-12-29,5575.121,5566.444,5596.047,5551.705
2016-12-30,5568.938,5569.623,5590.295,5554.544
2017-01-03,5581.503,5627.625,5628.074,5581.503
2017-01-04,5625.664,5683.727,5683.988,5619.455
2017-01-05,5683.035,5700.753,5703.817,5677.068
2017-01-06,5693.009,5689.328,5707.872,5678.664
2017-01-09,5683.124,5723.981,5724.504,5680.362
2017-01-10,5722.376,5719.438,5751.803,5708.523
2017-01-11,5716.708,5679.379,5748.561,5673.835
2017-01-12,5676.469,5616.722,5689.179,5613.345
2017-01-13,5614.536,5593.998,5631.136,5564.536
2017-01-16,5589.753,5577.291,5595.604,5448.832
2017-01-17,5550.757,5581.237,5582.168,5505.824
2017-01-18,5576.687,5605.456,5625.653,5569.212
2017-01-19,5595.234,5595.933,5622.632,5581.123
2017-01-20,5586.516,5636.76,5644.655,5586.516
2017-01-23,5639.758,5691.491,5708.191,5639.758
2017-01-24,5687.583,5703.513,5718.164,5680.035
2017-01-25,5707.566,5716.683,5723.125,5701.46
2017-01-26,5721.623,5757.958,5760.401,5721.141
2017-02-03,5757.276,5723.766,5759.831,5715.947
2017-02-06,5721.625,5739.631,5739.852,5698.369
2017-02-07,5735.669,5752.138,5758.882,5718.96
2017-02-08,5740.798,5777.302,5777.333,5719.488
2017-02-09,5773.371,5804.828,5812.261,5768.214
2017-02-10,5802.352,5864.987,5876.653,5801.858
2017-02-13,5895.475,5906.971,5913.351,5888.66
2017-02-14,5906.104,5929.44,5932.761,5882.437
2017-02-15,5910.119,5866.725,5931.229,5855.221
2017-02-16,5867.812,5930.401,5938.472,5866.853
2017-02-17,5926.271,5865.022,5935.017,5858.823
2017-02-20,5870.362,5957.056,5957.591,5870.362
