,open,close,high,low
2016-09-01,6823.454,6774.7,6838.408,6774.48
2016-09-02,6767.042,6747.032,6797.403,6710.268
2016-09-05,6767.765,6794.75,6817.72,6767.765
2016-09-06,6796.176,6906.021,6906.052,6747.306
2016-09-07,6907.799,6896.632,6947.813,6888.522
2016-09-08,6895.166,6928.346,6928.553,6881.447
2016-09-09,6922.891,6868.35,6942.259,6868.153
2016-09-12,6749.217,6688.733,6781.59,6685.434
2016-09-13,6727.555,6731.616,6751.882,6694.679
2016-09-14,6698.94,6700.876,6734.807,6667.937
2016-09-19,6718.47,6766.634,6766.981,6718.47
2016-09-20,6772.175,6754.222,6772.175,6733.678
2016-09-21,6753.319,6755.122,6776.996,6744.4
2016-09-22,6790.965,6792.498,6816.719,6784.383
2016-09-23,6804.038,6785.947,6814.543,6782.661
2016-09-26,6774.698,6661.467,6782.396,6660.321
2016-09-27,6647.056,6714.162,6714.162,6619.354
2016-09-28,6725.115,6723.957,6727.716,6692.189
2016-09-29,6723.27,6738.775,6763.9,6723.27
2016-09-30,6730.552,6777.084,6789.63,6728.257
2016-10-10,6804.146,6910.541,6911.033,6791.683
2016-10-11,6912.895,6947.057,6947.083,6899.502
2016-10-12,6919.688,6947.438,6947.683,6904.493
2016-10-13,6945.916,6944.003,6965.294,6928.492
2016-10-14,6936.663,6916.667,6943.193,6870.234
2016-10-17,6923.699,6860.116,6933.303,6831.228
2016-10-18,6849.604,6945.468,6945.502,6848.338
2016-10-19,6951.293,6920.242,6954.291,6901.453
2016-10-20,6925.146,6929.171,6939.028,6908.243
2016-10-21,6934.182,6899.848,6939.248,6842.757
2016-10-24,6904.265,6950.526,6961.056,6893.049
2016-10-25,6949.186,6971.026,6971.026,6941.374
2016-10-26,6969.398,6930.903,6970.393,6909.581
2016-10-27,6910.708,6910.917,6916.309,6875.475
2016-10-28,6904.677,6854.493,6924.406,6852.749
2016-10-31,6835.532,6826.176,6838.186,6788.966
2016-11-01,6827.317,6896.029,6896.037,6827.317
2016-11-02,6883.38,6856.538,6899.42,6851.748
2016-11-03,6846.378,6886.233,6924.885,6836.146
2016-11-04,6889.435,6862.172,6915.111,6847.057
2016-11-07,6860.744,6846.489,6869.555,6826.688
2016-11-08,6863.962,6894.414,6904.612,6856.804
2016-11-09,6900.164,6855.148,6909.123,6785.87
2016-11-10,6894.48,6917.34,6918.53,6892.74
2016-11-11,6918.992,6936.258,6936.589,6893.976
2016-11-14,6921.957,6955.459,6967.514,6914.076
2016-11-15,6955.711,6993.925,6994.129,6939.289
2016-11-16,7001.202,7002.518,7019.904,6995.242
2016-11-17,6989.646,6968.884,6989.746,6937.568
2016-11-18,6967.296,6942.478,6970.425,6930.78
2016-11-21,6939.07,6942.496,6958.273,6919.937
2016-11-22,6947.536,6994.125,6994.181,6945.156
2016-11-23,7003.021,6950.458,7005.947,6937.057
2016-11-24,6945.464,6931.794,6959.175,6916.478
2016-11-25,6928.813,6962.124,6962.385,6834.158
2016-11-28,6978.671,6972.923,6994.612,6962.464
2016-11-29,6971.735,6931.602,6989.592,6929.696
2016-11-30,6918.179,6922.231,6945.892,6903.468
2016-12-01,6920.994,6950.612,6950.689,6920.994
2016-12-02,6945.887,6846.595,6950.065,6842.381
2016-12-05,6795.554,6817.271,6853.82,6777.372
2016-12-06,6825.932,6814.705,6852.395,6810.747
2016-12-07,6818.008,6865.245,6865.354,6803.447
2016-12-08,6874.167,6840.323,6875.053,6836.152
2016-12-09,6833.072,6805.974,6842.089,6798.664
2016-12-12,6795.256,6506.525,6801.832,6496.68
