,open,close,high,low
2016-09-01,6398.743,6332.271,6404.017,6331.708
2016-09-02,6326.61,6316.577,6357.195,6283.229
2016-09-05,6331.135,6367.263,6383.63,6331.108
2016-09-06,6367.996,6454.662,6454.917,6326.738
2016-09-07,6455.142,6454.07,6492.217,6444.13
2016-09-08,6447.696,6487.325,6487.685,6446.771
2016-09-09,6482.354,6427.466,6499.727,6427.271
2016-09-12,6330.932,6265.058,6347.17,6255.268
2016-09-13,6294.58,6299.105,6312.48,6262.402
2016-09-14,6270.452,6259.665,6296.833,6245.813
2016-09-19,6269.641,6323.451,6323.451,6269.641
2016-09-20,6324.654,6335.012,6335.467,6309.637
2016-09-21,6336.278,6340.951,6362.273,6330.862
2016-09-22,6372.056,6382.836,6406.54,6367.247
2016-09-23,6390.125,6353.562,6392.818,6351.804
2016-09-26,6346.05,6253.556,6349.381,6251.947
2016-09-27,6239.668,6306.95,6307.091,6228.582
2016-09-28,6324.502,6301.757,6324.502,6287.973
2016-09-29,6304.115,6318.476,6342.529,6304.115
2016-09-30,6310.45,6345.441,6355.392,6307.452
2016-10-10,6373.014,6449.863,6450.584,6351.836
2016-10-11,6452.113,6492.19,6492.292,6443.895
2016-10-12,6473.191,6492.866,6493.401,6462.389
2016-10-13,6489.392,6493.325,6508.938,6484.183
2016-10-14,6488.14,6487.118,6496.156,6439.575
2016-10-17,6496.619,6431.947,6502.772,6414.881
2016-10-18,6435.048,6530.41,6530.607,6434.567
2016-10-19,6540.653,6504.332,6550.067,6485.535
2016-10-20,6507.329,6505.465,6509.884,6483.489
2016-10-21,6508.912,6504.767,6521.677,6443.34
2016-10-24,6504.991,6568.173,6578.283,6501.371
2016-10-25,6568.251,6595.118,6595.259,6556.155
2016-10-26,6591.388,6575.614,6592.138,6552.339
2016-10-27,6567.04,6571.93,6576.78,6541.05
2016-10-28,6564.334,6513.368,6583.219,6510.401
2016-10-31,6503.625,6500.794,6507.184,6468.025
2016-11-01,6501.35,6549.294,6549.375,6498.229
2016-11-02,6536.434,6504.42,6551.574,6500.222
2016-11-03,6494.173,6538.625,6567.834,6486.54
2016-11-04,6538.982,6506.625,6555.061,6495.579
2016-11-07,6506.84,6527.808,6542.503,6490.158
2016-11-08,6543.458,6559.931,6572.629,6531.392
2016-11-09,6564.564,6522.113,6566.021,6449.598
2016-11-10,6563.63,6604.3,6606.24,6563.63
2016-11-11,6610.182,6661.419,6662.606,6603.244
2016-11-14,6640.154,6685.315,6698.747,6638.718
2016-11-15,6686.517,6692.337,6701.167,6661.073
2016-11-16,6694.549,6700.29,6710.574,6674.899
2016-11-17,6695.459,6709.283,6716.371,6664.908
2016-11-18,6707.14,6676.758,6713.248,6667.354
2016-11-21,6668.478,6690.166,6724.77,6668.478
2016-11-22,6696.178,6740.133,6740.275,6695.557
2016-11-23,6742.983,6703.404,6747.885,6686.858
2016-11-24,6707.834,6712.979,6740.906,6696.881
2016-11-25,6705.817,6742.756,6743.75,6629.645
2016-11-28,6764.672,6782.587,6805.805,6757.181
2016-11-29,6767.732,6736.991,6801.483,6733.543
2016-11-30,6719.529,6680.506,6721.369,6660.667
2016-12-01,6687.678,6732.289,6734.408,6687.629
2016-12-02,6730.054,6648.953,6741.213,6646.274
2016-12-05,6583.514,6582.5,6637.021,6571.553
2016-12-06,6584.717,6583.021,6606.878,6573.115
2016-12-07,6583.586,6657.836,6657.977,6578.153
2016-12-08,6664.673,6636.353,6670.021,6629.75
2016-12-09,6628.613,6636.629,6660.548,6622.257
2016-12-12,6635.434,6376.558,6644.243,6371.218
2016-12-13,6359.611,6401.049,6415.609,6314.693
2016-12-14,6391.83,6374.437,6431.747,6359.437
2016-12-15,6355.409,6406.446,6427.325,6347.496
2016-12-16,6400.264,6441.949,6449.619,6397.516
2016-12-19,6446.934,6463.925,6471.468,6424.767
2016-12-20,6456.991,6433.952,6457.538,6406.152
2016-12-21,6439.742,6481.562,6482.208,6439.742
2016-12-22,6476.796,6490.892,6496.007,6453.058
2016-12-23,6490.27,6433.781,6491.027,6425.676
2016-12-26,6411.093,6448.95,6449.465,6348.184
2016-12-27,6449.275,6464.014,6473.71,6444.996
2016-12-28,6459.9,6449.474,6470.83,6435.197
2016-12-29,6437.625,6421.281,6461.68,6410.455
2016-12-30,6424.353,6439.362,6453.287,6417.241
2017-01-03,6445.051,6505.033,6505.301,6445.051
2017-01-04,6504.139,6579.775,6579.926,6498.155
2017-01-05,6577.064,6581.682,6596.574,6571.504
2017-01-06,6583.049,6575.53,6586.339,6561.949
2017-01-09,6570.6,6620.582,6620.821,6569.69
2017-01-10,6616.611,6596.703,6626.068,6591.296
2017-01-11,6586.248,6528.751,6606.264,6528.751
2017-01-12,6520.612,6467.927,6537.173,6466.292
2017-01-13,6470.26,6410.366,6477.936,6387.393
2017-01-16,6398.153,6289.167,6398.153,6147.075
2017-01-17,6265.403,6326.86,6327.628,6223.034
2017-01-18,6315.82,6336.412,6359.186,6301.111
2017-01-19,6321.139,6307.823,6340.029,6299.542
2017-01-20,6301.704,6378.959,6380.167,6300.399
2017-01-23,6379.898,6425.075,6436.65,6379.898
2017-01-24,6420.478,6428.617,6438.697,6408.588
2017-01-25,6421.07,6444.78,6452.636,6416.008
2017-01-26,6448.068,6469.532,6473.18,6448.068
2017-02-03,6474.384,6454.179,6477.873,6436.237
2017-02-06,6451.254,6498.967,6499.287,6447.064
2017-02-07,6495.324,6497.74,6506.542,6466.917
2017-02-08,6489.055,6528.679,6528.855,6452.753
2017-02-09,6525.6,6560.708,6562.552,6520.734
2017-02-10,6558.398,6589.588,6604.575,6557.36
2017-02-13,6593.379,6630.398,6631.135,6593.304
2017-02-14,6629.569,6635.882,6636.784,6606.265
2017-02-15,6627.843,6585.916,6647.914,6575.614
2017-02-16,6578.083,6635.968,6636.576,6574.083
2017-02-17,6637.73,6577.585,6648.573,6570.241
2017-02-20,6577.646,6675.586,6675.617,6577.646
2017-02-21,6679.731,6716.736,6716.736,6675.018
2017-02-22,6715.328,6752.994,6753.492,6707.673
2017-02-23,6746.02,6732.339,6756.916,6696.751
2017-02-24,6721.45,6721.474,6721.852,6678.427
2017-02-27,6719.16,6645.41,6719.48,6639.15
2017-02-28,6646.927,6669.378,6669.701,6633.257
2017-03-01,6666.374,6681.42,6701.309,6659.107
2017-03-02,6688.527,6641.87,6701.409,6637.107
2017-03-03,6626.205,6643.498,6650.424,6605.868
2017-03-06,6650.127,6697.633,6697.742,6646.696
2017-03-07,6697.398,6699.302,6700.869,6673.947
2017-03-08,6700.275,6674.591,6700.858,6651.722
2017-03-09,6662.527,6601.048,6662.6,6586.741
2017-03-10,6599.321,6613.615,6632.15,6599.321
2017-03-13,6609.134,6672.575,6672.575,6570.342
2017-03-14,6670.151,6649.902,6674.896,6637.435
2017-03-15,6640.225,6639.688,6657.957,6623.161
2017-03-16,6651.112,6704.879,6705.075,6651.112
2017-03-17,6712.026,6646.581,6716.146,6643.683
2017-03-20,6650.914,6655.776,6661.476,6605.681
2017-03-21,6650.409,6684.153,6684.632,6643.669
2017-03-22,6648.497,6661.803,6680.805,6624.086
2017-03-23,6659.509,6653.556,6685.494,6598.657
2017-03-24,6648.689,6687.186,6688.702,6634.106
2017-03-27,6685.882,6677.301,6705.57,6669.171
2017-03-28,6674.315,6657.727,6675.261,6640.32
2017-03-29,6659.6,6660.47,6702.399,6625.828
2017-03-30,6648.587,6585.822,6659.423,6564.475
2017-03-31,6584.976,6606.723,6608.874,6574.602
2017-04-05,6668.999,6741.644,6741.644,6668.249
2017-04-06,6758.586,6779.52,6784.203,6741.958
2017-04-07,6779.47,6805.381,6813.34,6763.829
2017-04-10,6804.452,6811.978,6834.039,6795.671
2017-04-11,6815.628,6882.395,6883.665,6758.607
2017-04-12,6892.318,6852.575,6911.233,6848.64
2017-04-13,6848.501,6908.318,6916.976,6836.81
2017-04-14,6912.686,6799.338,6913.126,6795.442
2017-04-17,6770.582,6714.931,6771.405,6678.971
2017-04-18,6711.653,6680.995,6749.729,6680.734
2017-04-19,6654.366,6611.255,6661.924,6547.574
2017-04-20,6609.588,6617.023,6641.691,6563.807
2017-04-21,6622.433,6574.014,6636.316,6564.114
2017-04-24,6559.292,6403.855,6559.552,6401.382
2017-04-25,6411.28,6433.098,6480.79,6398.244
2017-04-26,6428.666,6448.165,6465.428,6423.165
2017-04-27,6422.53,6448.372,6461.264,6308.762
2017-04-28,6430.576,6464.538,6465.095,6419.333
2017-05-02,6454.028,6454.834,6470.747,6434.602
2017-05-03,6448.453,6428.939,6463.75,6406.947
2017-05-04,6405.628,6407.236,6467.472,6375.891
2017-05-05,6382.093,6327.675,6390.589,6327.675
2017-05-08,6317.03,6201.794,6319.771,6201.606
2017-05-09,6183.253,6231.655,6232.277,6151.892
2017-05-10,6229.595,6098.43,6253.159,6097.527
2017-05-11,6070.145,6081.139,6084.5,5928.668
2017-05-12,6067.866,6090.672,6122.814,6033.279
2017-05-15,6099.323,6113.783,6131.544,6099.323
2017-05-16,6104.392,6226.468,6226.94,6060.957
2017-05-17,6219.071,6247.403,6271.841,6210.578
2017-05-18,6192.828,6197.602,6240.924,6177.677
2017-05-19,6186.983,6198.254,6207.371,6174.549
2017-05-22,6186.635,6095.501,6201.868,6082.832
2017-05-23,6084.455,5986.955,6105.674,5981.405
2017-05-24,5966.182,6009.435,6009.699,5893.468
2017-05-25,5996.444,6093.49,6096.47,5969.013
2017-05-26,6086.289,6073.208,6113.928,6069.889
2017-05-31,6127.899,6081.447,6154.16,6075.012
2017-06-01,6069.023,5992.577,6070.551,5987.615
2017-06-02,5980.317,6058.322,6065.384,5945.853
2017-06-05,6063.804,6085.616,6095.944,6063.177
2017-06-06,6083.004,6118.904,6119.492,6069.147
2017-06-07,6115.808,6238.769,6239.183,6113.102
2017-06-08,6226.459,6250.483,6261.572,6221.83
2017-06-09,6241.817,6257.059,6257.753,6215.274
2017-06-12,6231.182,6196.364,6254.733,6190.855
2017-06-13,6188.73,6261.138,6263.438,6186.475
2017-06-14,6257.723,6228.613,6270.083,6219.27
2017-06-15,6219.835,6262.021,6265.788,6214.312
2017-06-16,6254.953,6236.954,6258.297,6233.242
2017-06-19,6234.336,6278.083,6278.083,6232.479
2017-06-20,6281.099,6289.698,6297.036,6273.492
2017-06-21,6298.958,6309.477,6310.2,6263.361
2017-06-22,6302.738,6224.532,6324.488,6224.527
2017-06-23,6212.504,6240.924,6241.005,6153.295
2017-06-26,6240.448,6335.663,6335.959,6239.015
2017-06-27,6331.417,6335.579,6347.126,6308.286
2017-06-28,6320.542,6307.53,6330.484,6295.57
2017-06-29,6308.063,6341.173,6349.942,6308.063
2017-06-30,6328.437,6353.678,6357.447,6316.758
2017-07-03,6355.078,6388.837,6389.012,6336.908
2017-07-04,6377.894,6348.494,6378.056,6336.917
2017-07-05,6342.563,6409.787,6410.11,6342.362
2017-07-06,6403.446,6411.966,6426.213,6365.517
2017-07-07,6393.37,6428.102,6429.178,6381.816
2017-07-10,6421.186,6433.297,6456.935,6406.19
2017-07-11,6425.212,6374.043,6435.432,6373.269
2017-07-12,6366.903,6358.479,6382.59,6285.858
2017-07-13,6348.604,6383.065,6407.171,6347.577
2017-07-14,6372.896,6380.444,6382.663,6344.968
2017-07-17,6372.519,6167.73,6372.519,6131.238
2017-07-18,6151.321,6243.622,6243.959,6151.321
2017-07-19,6234.481,6382.046,6382.135,6227.512
2017-07-20,6375.32,6430.295,6437.448,6365.046
2017-07-21,6417.139,6458.03,6467.5,6408.371
2017-07-24,6449.055,6509.535,6537.49,6446.572
2017-07-25,6504.248,6481.294,6504.36,6444.322
2017-07-26,6477.269,6471.729,6489.544,6430.232
2017-07-27,6456.679,6465.209,6478.646,6405.323
2017-07-28,6449.12,6489.874,6498.287,6439.732
2017-07-31,6487.983,6598.971,6599.55,6487.983
2017-08-01,6595.188,6589.898,6609.142,6560.722
2017-08-02,6576.671,6549.253,6613.938,6540.659
2017-08-03,6536.143,6566.963,6583.813,6535.57
2017-08-04,6566.437,6551.355,6608.315,6549.701
2017-08-07,6547.56,6623.335,6624.591,6514.063
2017-08-08,6624.663,6624.27,6648.658,6603.521
2017-08-09,6631.794,6679.628,6680.695,6608.232
2017-08-10,6655.975,6625.157,6680.595,6576.539
2017-08-11,6573.517,6444.223,6588.656,6440.147
2017-08-14,6447.241,6546.375,6547.141,6446.449
2017-08-15,6543.448,6562.597,6568.785,6531.979
2017-08-16,6562.892,6559.988,6568.698,6520.583
2017-08-17,6576.749,6607.093,6607.232,6560.277
2017-08-18,6568.708,6588.102,6602.719,6559.755
2017-08-21,6594.73,6646.702,6647.118,6594.73
2017-08-22,6635.9,6606.267,6636.168,6587.826
2017-08-23,6585.446,6540.552,6589.544,6517.371
2017-08-24,6542.269,6497.202,6549.126,6484.863
2017-08-25,6497.12,6575.779,6584.864,6497.12
2017-08-28,6578.514,6644.701,6658.723,6578.514
2017-08-29,6642.521,6647.85,6675.21,6632.425
2017-08-30,6645.759,6699.056,6713.003,6644.934
2017-08-31,6693.405,6707.709,6708.469,6661.032
2017-09-01,6719.014,6766.563,6774.704,6719.014
2017-09-04,6768.936,6764.178,6771.391,6734.195
2017-09-05,6762.493,6765.07,6770.63,6735.046
2017-09-06,6747.496,6777.711,6788.464,6741.591
2017-09-07,6776.427,6737.638,6784.779,6732.728
2017-09-08,6733.669,6764.343,6779.593,6731.734
2017-09-11,6768.53,6827.23,6827.93,6756.36
2017-09-12,6832.892,6844.274,6893.872,6823.554
2017-09-13,6839.001,6885.534,6885.674,6836.861
2017-09-14,6888.954,6869.105,6901.57,6840.468
2017-09-15,6856.6,6812.617,6856.6,6795.174
2017-09-18,6805.204,6853.564,6854.063,6803.474
2017-09-19,6856.744,6834.525,6869.726,6812.009
2017-09-20,6827.946,6884.223,6884.551,6809.036
2017-09-21,6875.237,6795.745,6875.77,6795.744
2017-09-22,6774.885,6745.458,6777.467,6729.582
2017-09-25,6732.301,6656.303,6732.813,6648.478
2017-09-26,6658.229,6688.888,6688.961,6650.517
2017-09-27,6690.343,6723.436,6731.562,6685.781
2017-09-28,6718.591,6691.402,6724.132,6689.075
2017-09-29,6695.036,6720.979,6743.041,6695.036
2017-10-09,6792.556,6796.342,6809.952,6774.885
2017-10-10,6791.851,6810.354,6810.96,6774.365
2017-10-11,6811.315,6804.859,6822.676,6791.956
2017-10-12,6800.585,6787.417,6808.108,6745.832
2017-10-13,6789.49,6817.246,6820.7,6783.083
2017-10-16,6820.105,6721.454,6820.682,6717.927
2017-10-17,6711.137,6714.1,6742.989,6693.91
2017-10-18,6710.632,6671.736,6730.14,6665.824
2017-10-19,6668.368,6631.089,6678.855,6625.455
2017-10-20,6626.074,6693.671,6693.671,6620.563
2017-10-23,6696.126,6733.683,6734.116,6688.122
2017-10-24,6726.955,6713.616,6727.023,6680.097
2017-10-25,6714.754,6765.804,6766.075,6707.077
2017-10-26,6762.45,6789.963,6799.701,6753.445
2017-10-27,6775.811,6766.064,6789.137,6755.364
2017-10-30,6752.37,6646.474,6755.07,6594.874
2017-10-31,6628.463,6681.422,6681.422,6620.273
2017-11-01,6680.073,6664.86,6698.4,6660.551
2017-11-02,6656.267,6618.917,6656.569,6601.924
2017-11-03,6615.029,6539.191,6624.841,6501.816
2017-11-06,6538.61,6632.459,6633.726,6518.347
2017-11-07,6627.973,6683.78,6684.911,6623.513
2017-11-08,6677.267,6676.222,6716.358,6665.913
2017-11-09,6676.917,6725.744,6725.77,6674.514
2017-11-10,6713.669,6752.733,6758.538,6703.5
2017-11-13,6754.758,6774.069,6775.33,6741.872
2017-11-14,6771.849,6730.727,6781.548,6704.937
2017-11-15,6715.629,6668.874,6717.554,6645.454
2017-11-16,6653.981,6693.966,6712.476,6647.268
2017-11-17,6682.958,6504.234,6690.485,6500.758
2017-11-20,6479.517,6544.136,6545.087,6374.87
2017-11-21,6536.315,6577.064,6597.336,6522.498
2017-11-22,6580.563,6544.758,6591.999,6499.401
2017-11-23,6529.131,6382.287,6529.131,6381.892
2017-11-24,6359.395,6394.902,6412.215,6335.667
2017-11-27,6390.358,6333.712,6403.175,6328.058
2017-11-28,6324.9,6436.485,6436.762,6324.514
2017-11-29,6432.875,6475.516,6479.457,6401.526
2017-11-30,6462.964,6424.15,6471.294,6409.788
2017-12-01,6418.811,6444.284,6459.488,6401.597
2017-12-04,6437.292,6412.196,6467.098,6406.718
2017-12-05,6395.651,6278.706,6409.683,6243.262
2017-12-06,6262.452,6308.848,6309.268,6201.45
2017-12-07,6293.972,6258.413,6306.713,6252.285
2017-12-08,6254.085,6328.73,6342.148,6253.153
2017-12-11,6326.857,6412.7,6413.242,6326.857
2017-12-12,6407.42,6357.687,6413.703,6357.687
2017-12-13,6350.366,6420.026,6420.546,6347.612
2017-12-14,6417.098,6440.135,6441.312,6395.441
2017-12-15,6429.958,6395.628,6429.96,6376.229
2017-12-18,6392.95,6382.318,6415.439,6359.93
2017-12-19,6382.048,6441.919,6441.977,6380.817
2017-12-20,6430.02,6407.27,6443.78,6396.9
2017-12-21,6397.42,6453.6,6464.34,6361.05
2017-12-22,6445.26,6467.71,6491.24,6444.62
2017-12-25,6470.54,6430.22,6498.02,6417.73
2017-12-26,6422.23,6468.48,6469.08,6392.95
2017-12-27,6465.78,6439.77,6487.81,6429.15
2017-12-28,6429.9,6474.92,6491.83,6428.24
2017-12-29,6476.42,6526.74,6526.74,6476.38
2018-01-02,6539.91,6652.28,6652.6,6539.91
2018-01-03,6657.42,6707.15,6711.59,6647.43
2018-01-04,6704.71,6777.58,6778.78,6697.85
2018-01-05,6770.2,6803.46,6826.14,6762.09
2018-01-08,6798.69,6879.59,6881.0,6795.89
2018-01-09,6869.55,6887.7,6894.9,6860.03
2018-01-10,6884.56,6847.74,6887.95,6801.98
2018-01-11,6834.55,6827.15,6834.55,6790.84
2018-01-12,6816.44,6830.58,6854.2,6808.54
2018-01-15,6825.85,6716.73,6826.39,6699.29
2018-01-16,6711.5,6833.7,6833.73,6711.5
2018-01-17,6834.06,6788.51,6835.01,6759.65
2018-01-18,6785.48,6857.78,6857.78,6785.48
2018-01-19,6854.03,6845.06,6906.1,6826.77
2018-01-22,6836.39,6924.61,6925.95,6835.09
2018-01-23,6917.53,6936.53,6936.53,6899.68
