"DateTime","CLV18E.NYM","BX18E.IPE","NH0041.NHF"
2018-04-02,61.22,65.36,969.0626
2018-04-03,61.81,66.05,936.2642
2018-04-04,61.9,66.11,933.9381
2018-04-09,61.86,66.28,935.799
2018-04-10,63.54,68.26,961.8516
2018-04-11,64.63,69.27,971.8539
2018-04-12,64.78,69.29,997.2087
2018-04-13,65.14,69.71,993.2542
2018-04-16,64.45,68.86,987.2063
2018-04-17,64.69,69.09,994.1847
2018-04-18,66.45,70.87,999.5348
2018-04-19,66.25,70.81,1024.8895
2018-04-20,66.16,70.79,1015.8176
2018-04-23,67.02,72.12,1022.796
2018-04-24,66.03,71.01,1040.4745
2018-04-25,66.41,71.3,1018.8416
2018-04-26,66.64,71.75,1026.7504
2018-04-27,66.43,71.51,1033.2636
2018-05-02,66,71.14,1031.6353
2018-05-03,66.7,71.76,1039.7767
2018-05-04,68.13,73.1,1039.5441
2018-05-07,68.49,73.71,1066.0619
2018-05-08,68.62,74.17,1067.9228
2018-05-09,69.85,75.48,1082.1121
2018-05-10,70.12,75.93,1108.1647
2018-05-11,69.49,75.52,1096.0689
2018-05-14,70.18,76.65,1083.0426
2018-05-15,69.81,76.68,1099.7906
2018-05-16,70.51,77.89,1100.4885
2018-05-17,70.48,78.2,1120.9584
2018-05-18,70.12,77.52,1131.6585
2018-05-21,71.19,78.35,1122.1214
2018-05-22,71.03,78.29,1128.402
2018-05-23,70.84,78.47,1127.2389
2018-05-24,69.64,77.74,1128.1693
2018-05-25,66.7,75.11,1110.4908
2018-05-28,65.83,74.33,1076.5294
2018-05-29,65.93,74.65,1078.8555
2018-05-30,67.18,76.75,1079.0882
2018-05-31,66.09,76.52,1099.0928
2018-06-01,65.18,75.75,1104.2103
2018-06-04,64.41,74.75,1095.371
2018-06-05,64.94,74.28,1084.4382
2018-06-06,64.5,74.65,1081.6469
2018-06-07,65.35,76.39,1083.5078
2018-06-08,64.91,75.52,1089.3231
2018-06-11,65.31,75.48,1087.4622
2018-06-12,65.28,74.63,1098.1624
2018-06-13,65.8,75.6,1080.4838
2018-06-14,65.88,74.8,1088.8579
2018-06-15,63.25,71.99,1086.7644
2018-06-19,64.07,73.75,1070.7141
2018-06-20,64.38,73.06,1079.786
2018-06-21,64.36,72.42,1069.5511
2018-06-22,67.2,74.64,1067.6902
2018-06-25,66.42,74.03,1085.1361
2018-06-26,68.27,75.84,1096.7667
2018-06-27,69.4,76.57,1128.1693
2018-06-28,70.1,76.91,1142.1261
2018-06-29,70.93,78.58,1150.9653
2018-07-02,69.13,76.79,1166.783
2018-07-03,69.01,77.14,1171.2026
2018-07-04,69.2,77.52,1155.385
2018-07-05,68.67,76.97,1157.4785
2018-07-06,69.22,76.78,1153.0589
2018-07-09,70.03,77.77,1157.7111
2018-07-10,70.75,78.39,1174.4592
2018-07-11,67.54,73.94,1181.4375
2018-07-12,68.1,74.58,1145.8479
2018-07-13,68.05,74.84,1142.3587
2018-07-16,65.69,71.87,1144.2196
2018-07-17,65.36,71.82,1114.6778
2018-07-18,66.54,73.04,1120.0279
2018-07-19,66.27,72.76,1130.7281
2018-07-20,66.57,73.14,1147.7088
2018-07-23,66.69,73.54,1140.7304
2018-07-24,67.42,74.28,1150.7327
2018-07-25,68,75.05,1170.2722
2018-07-26,68.36,75.31,1171.9004
2018-07-27,67.98,75.03,1179.1114
2018-07-30,68.84,75.51,1186.0898
2018-07-31,67.34,74.41,1193.766
2018-08-01,66.64,72.91,1170.7374
2018-08-02,67.69,73.63,1171.2018
2018-08-03,67.5,73.7,1195.1558
2018-08-06,67.85,73.94,1208.444
2018-08-07,68.26,74.81,1250.8733
2018-08-08,66.1,72.58,1212.1624
2018-08-09,66.02,72.38,1196.7714
2018-08-10,67.05,73.29,1180.6807
2018-08-13,66.72,73.13,1187.6767
2018-08-14,65.93,72.55,1203.3009
2018-08-15,64.34,71.16,1189.5422
2018-08-16,64.84,71.66,1161.0921
2018-08-17,65.2,72.03,1158.2937
2018-08-20,65.44,72.44,1145.9342
2018-08-21,66.07,73.07,1157.5941
2018-08-22,68.11,75.24,1176.7164
2018-08-23,67.85,75.07,1184.6451
2018-08-24,68.52,75.75,1193.5066
2018-08-27,68.92,76.56,1191.1746
2018-08-28,68.53,76.27,1193.973
2018-08-29,69.7,77.69,1185.8111
2018-08-30,70.05,77.75,1219.1584
2018-08-31,69.88,77.71,1221.9567
2018-09-03,69.88,78.01,1215.4272
2018-09-04,69.37,77.86,1221.7235
2018-09-05,68.64,77.12,1215.6604
2018-09-06,67.89,76.63,1212.6288
2018-09-07,67.86,77.1,1205.1665
2018-09-10,67.53,77.36,1223.1227
2018-09-11,69.91,79.5,1222.6563
2018-09-12,70.3,79.75,1249.7073
2018-09-13,68.81,78.43,1243.6441
2018-09-14,68.98,78.1,1226.1543
